SuiteID	Name	SuiteNum1	SuiteMA1Name	SuiteMA1PA1	SuiteMA1PA2	SuiteMA1PA3	SuiteNum2	SuiteMA2Name	SuiteMA2PA1	SuiteMA2PA2	SuiteMA2PA3	SuiteNum3	SuiteMA3Name	SuiteMA3PA1	SuiteMA3PA2	SuiteMA3PA3	SuiteNum4	SuiteMA4Name	SuiteMA4PA1	SuiteMA4PA2	SuiteMA4PA3	Head	Body	Belt	Weapon	Foot	Cuff	Amulet	Ring	Necklace	Pendant	Horse	Mask	Book
22	Hiệp Độc Tiêu Dao	3	damage_all_resist	850	0	0	5	allseriesstateresisttime	300	0	0	7	deadlystrikedamageenhance_p	130	0	0	9	allskill_v	1	1	1752													
23	Bạch Hiệp	3	damage_all_resist	850	0	0	5	allseriesstateresisttime	300	0	0	7	deadlystrikedamageenhance_p	130	0	0	9	allskill_v	1	1	1753													
24	Băng Thanh	3	damage_all_resist	850	0	0	5	allseriesstateresisttime	300	0	0	7	deadlystrikedamageenhance_p	130	0	0	9	allskill_v	1	1	1753													
25	Lưu Viêm	3	damage_all_resist	850	0	0	5	allseriesstateresisttime	300	0	0	7	deadlystrikedamageenhance_p	130	0	0	9	allskill_v	1	1	1754													
26	Xích Vũ	3	damage_all_resist	850	0	0	5	allseriesstateresisttime	300	0	0	7	deadlystrikedamageenhance_p	130	0	0	9	allskill_v	1	1	1754													
27	Sương Ngạo Giang Sơn	3	damage_all_resist	850	0	0	5	allseriesstateresisttime	300	0	0	7	deadlystrikedamageenhance_p	130	0	0	9	allskill_v	1	1	1755													
28	Hồi Phong Phất Liễu	3	damage_all_resist	850	0	0	5	allseriesstateresisttime	300	0	0	7	deadlystrikedamageenhance_p	130	0	0	9	allskill_v	1	1	1755													
29	Phổ Độ Hoàng Kim	3	damage_all_resist	1000	0	0	5	allseriesstateresisttime	320	0	0	7	deadlystrikedamageenhance_p	145	0	0	9	allskill_v	2	2	1751													
30	Tu La Hoàng Kim	3	damage_all_resist	1000	0	0	5	allseriesstateresisttime	320	0	0	7	deadlystrikedamageenhance_p	145	0	0	9	allskill_v	2	2	1751													
31	Ngọc Bích Thanh Vân	3	damage_all_resist	1000	0	0	5	allseriesstateresisttime	320	0	0	7	deadlystrikedamageenhance_p	145	0	0	9	allskill_v	2	2	1752													
32	Ngọc Bích Huyền Vân	3	damage_all_resist	1000	0	0	5	allseriesstateresisttime	320	0	0	7	deadlystrikedamageenhance_p	145	0	0	9	allskill_v	2	2	1752													
33	Lưu Vũ Băng Châu	3	damage_all_resist	1000	0	0	5	allseriesstateresisttime	320	0	0	7	deadlystrikedamageenhance_p	145	0	0	9	allskill_v	2	2	1753													
34	Ngọc Khiết Lãnh Hàn	3	damage_all_resist	1000	0	0	5	allseriesstateresisttime	320	0	0	7	deadlystrikedamageenhance_p	145	0	0	9	allskill_v	2	2	1753													
35	Phong Viêm	3	damage_all_resist	1000	0	0	5	allseriesstateresisttime	320	0	0	7	deadlystrikedamageenhance_p	145	0	0	9	allskill_v	2	2	1754													
36	Xích Vân	3	damage_all_resist	1000	0	0	5	allseriesstateresisttime	320	0	0	7	deadlystrikedamageenhance_p	145	0	0	9	allskill_v	2	2	1754													
37	Tiếu Phong	3	damage_all_resist	1000	0	0	5	allseriesstateresisttime	320	0	0	7	deadlystrikedamageenhance_p	145	0	0	9	allskill_v	2	2	1755													
38	Ngạo Tuyết	3	damage_all_resist	1000	0	0	5	allseriesstateresisttime	320	0	0	7	deadlystrikedamageenhance_p	145	0	0	9	allskill_v	2	2	1755													
39	Kế Nghiệp Chiến Tướng	3	damage_all_resist	1250	0	0	5	allseriesstateresisttime	350	0	0	7	deadlystrikedamageenhance_p	160	0	0	9	allskill_v	3	3	1751													
40	Kế Nghiệp Nữ Hùng	3	damage_all_resist	1250	0	0	5	allseriesstateresisttime	350	0	0	7	deadlystrikedamageenhance_p	160	0	0	9	allskill_v	3	3	1751													
41	Thánh Hỏa Liêu Nguyên	3	damage_all_resist	1250	0	0	5	allseriesstateresisttime	350	0	0	7	deadlystrikedamageenhance_p	160	0	0	9	allskill_v	3	3	1752													
42	Thánh Nữ	3	damage_all_resist	1250	0	0	5	allseriesstateresisttime	350	0	0	7	deadlystrikedamageenhance_p	160	0	0	9	allskill_v	3	3	1752													
43	Sa Châu Mạn Thủy	3	damage_all_resist	1250	0	0	5	allseriesstateresisttime	350	0	0	7	deadlystrikedamageenhance_p	160	0	0	9	allskill_v	3	3	1753													
44	Băng Vân Vạn Thủy	3	damage_all_resist	1250	0	0	5	allseriesstateresisttime	350	0	0	7	deadlystrikedamageenhance_p	160	0	0	9	allskill_v	3	3	1753													
45	Liệt Hỏa Chiến Tướng	3	damage_all_resist	1250	0	0	5	allseriesstateresisttime	350	0	0	7	deadlystrikedamageenhance_p	160	0	0	9	allskill_v	3	3	1754													
46	Liệt Hỏa Chiến Tướng	3	damage_all_resist	1250	0	0	5	allseriesstateresisttime	350	0	0	7	deadlystrikedamageenhance_p	160	0	0	9	allskill_v	3	3	1754													
47	Hỗn Nguyên Càn Khôn	3	damage_all_resist	1250	0	0	5	allseriesstateresisttime	350	0	0	7	deadlystrikedamageenhance_p	160	0	0	9	allskill_v	3	3	1755													
48	Huyền Thiên Vô Cực	3	damage_all_resist	1250	0	0	5	allseriesstateresisttime	350	0	0	7	deadlystrikedamageenhance_p	160	0	0	9	allskill_v	3	3	1755													
