TaiKhoan	TenNhanVat	SoVatPhamSuKien	ThoiGianNhan	IP		
havinh	saomai	25	2023-12-07 12:05:55	171.240.132.196:17109
ngocnhuy1	ngocnhuyy	200	2023-12-15 23:14:05	27.70.226.3:21500
satthan2	Krulll	100	2023-12-19 17:58:47	116.98.206.41:63171
ngocnhuy1	ngocnhuyy	300	2023-12-20 10:30:03	27.70.227.65:56532
ngocnhuy1	ngocnhuyy	600	2023-12-20 10:41:52	27.70.227.65:56532
ngocnhuy1	ngocnhuyy	600	2023-12-20 10:44:41	27.70.227.65:56532
kiemthest2	AdminGame	1000	2023-12-20 11:01:31	116.108.182.36:31427
ngocnhuy1	ngocnhuyy	1000	2023-12-20 11:01:48	27.70.227.65:56532
tuanthanh	TrùmTrạiGà	100	2024-01-30 20:43:31	14.165.50.117:12760
hieuhanh1	Kachiusa	25	2024-02-22 11:22:03	171.224.178.245:56889
tanphat333	DarkLinght	100	2024-03-31 12:50:26	115.77.59.11:15599
lddung	MrClick	100	2024-04-11 19:28:08	171.242.148.219:35524
satthanpk5	TôVũĐiệp	25	2024-05-18 09:50:39	192.168.2.14:57284
satthanpk5	TôVũĐiệp	50	2024-05-18 09:50:48	192.168.2.14:57284
satthanpk5	TôVũĐiệp	100	2024-05-18 09:50:55	192.168.2.14:57284
satthanpk5	TôVũĐiệp	150	2024-05-18 09:50:59	192.168.2.14:57284
satthanpk5	TôVũĐiệp	150	2024-05-18 09:51:04	192.168.2.14:57284
satthanpk5	TôVũĐiệp	200	2024-05-18 09:51:09	192.168.2.14:57284
satthanpk5	TôVũĐiệp	300	2024-05-18 09:51:15	192.168.2.14:57284
satthanpk5	TôVũĐiệp	600	2024-05-18 09:51:22	192.168.2.14:57284
anhchangcodl	ZzVNKimzZ	600	2024-05-28 19:17:03	1.55.49.232:20279
anhchangcodl	ZzVNKimzZ	600	2024-05-28 19:20:36	1.55.49.232:20279
anhchangcodl	ZzVNKimzZ	300	2024-05-28 19:21:55	1.55.49.232:20279
hhhggg1	MạnhHùng	300	2024-05-30 19:35:45	116.107.111.40:32715
hhhggg1	MạnhHùng	50	2024-05-30 19:37:22	116.107.111.40:32715
lingnga	ShenNana	600	2024-06-02 16:33:11	113.186.31.115:46787
lingnga	ShenNana	600	2024-06-02 16:33:45	113.186.31.115:46787
lingnga	ShenNana	600	2024-06-02 16:34:12	113.186.31.115:46787
hhhggg1	MạnhHùng	200	2024-06-02 19:50:31	116.107.111.40:41158
thjenhazovong	TiểuBànTử	25	2024-06-06 01:01:54	42.118.4.193:43751
thjenhazovong	TiểuBànTử	300	2024-06-07 12:06:07	118.68.59.62:14787
kiemthest2	AdminGame	3000	2024-06-07 18:17:25	171.232.165.49:48344
satthan1	Skulll	3000	2024-06-07 18:24:42	117.5.152.193:23283
thjenhazovong	TiểuBànTử	600	2024-06-08 00:55:39	118.68.59.62:27078
thjenhazovong	TiểuBànTử	25	2024-06-08 10:28:10	118.68.59.62:57287
anhchangcodl	ZzVNKimzZ	1400	2024-06-08 20:16:02	118.68.202.151:58614
kiemthest2	AdminGame	1400	2024-06-08 20:16:44	171.232.165.49:40170
satthan2	Krulll	600	2024-06-10 15:20:55	14.166.71.133:50171
lingnga	ShenNana	1500	2024-06-10 16:44:42	14.181.143.16:38599
satthan2	Krulll	2500	2024-06-10 18:06:57	116.98.218.69:8753
thjenhazovong	TiểuBànTử	200	2024-06-10 23:18:14	118.68.59.62:17348
hhhggg1	MạnhHùng	450	2024-06-11 13:50:26	116.107.111.40:64491
hhhggg1	MạnhHùng	100	2024-06-11 13:53:05	116.107.111.40:64491
lingnga	ShenNana	1500	2024-06-11 16:42:33	14.181.143.16:11263
anhchangcodl	ZzVNKimzZ	1000	2024-06-11 20:25:56	42.112.224.45:60635
kiemthest2	AdminGame	900	2024-06-16 18:10:08	27.77.63.33:28363
anhchangcodl	ZzVNKimzZ	900	2024-06-16 18:13:20	42.112.224.96:19346
hhhggg1	MạnhHùng	450	2024-06-17 15:33:44	116.107.99.166:27621
kunkunzz	DươngDii	50	2024-06-18 22:16:07	118.68.109.78:22584
kiemthest2	AdminGame	300	2024-06-20 15:42:46	27.77.63.33:19434
hhhggg1	MạnhHùng	300	2024-06-20 15:43:32	171.234.67.156:39417
kunkunzz	DươngDii	50	2024-06-21 16:26:26	118.68.109.78:33209
satthan1	Skulll	1200	2024-06-28 20:54:39	117.5.153.207:64755
satthan1	Skulll	1200	2024-06-28 20:55:57	117.5.153.207:64755
satthan1	Skulll	600	2024-06-28 20:57:28	117.5.153.207:64755
kunkunzz	DươngDii	600	2024-06-28 22:39:38	118.68.109.78:19012
noraneko	Noraneko	100	2024-07-07 09:49:32	203.162.7.216:26569
kiemthest2	AdminGame	3600	2024-07-08 14:44:03	171.232.160.93:30671
satthan1	Skulll	3600	2024-07-08 14:46:57	113.186.62.31:5314
satthan1	Skulll	1200	2024-07-08 15:29:39	113.186.62.31:31938
satthan1	Skulll	2000	2024-07-08 15:51:05	113.186.62.31:31938
ktsatthan	HamChoi	2000	2024-07-15 07:08:49	58.186.218.95:56478
675112	SweetHoney	100	2024-07-17 19:35:37	171.234.9.214:40773
ktsatthan	HamChoi	1200	2024-07-21 21:11:10	42.113.161.21:11381
lingnga	ShenNana	7000	2024-07-22 10:48:11	14.182.85.239:62433
ktsatthan	HamChoi	1200	2024-07-22 20:24:10	42.113.161.21:35347
satthan2	Krulll	3000	2024-07-22 20:41:33	117.5.153.207:13709
satthan2	Krulll	1200	2024-07-22 21:49:28	117.5.153.207:13709
kiemthest2	AdminGame	1200	2024-08-02 08:05:03	27.65.220.141:14278
675112	SweetHoney	1200	2024-08-02 08:05:30	171.234.9.130:25434
675112	SweetHoney	600	2024-08-02 19:57:48	171.234.9.130:52451
675112	SweetHoney	600	2024-08-09 10:37:57	171.234.9.4:45470
675112	SweetHoney	1200	2024-08-12 11:48:29	27.66.53.189:19805
675112	SweetHoney	600	2024-08-12 12:10:52	27.66.53.189:19805
675113	Kimduyên	600	2024-08-12 15:50:05	27.66.53.189:31287
satthan2	Krulll	100	2024-08-25 11:14:45	27.76.234.208:15043
kiemthest2	AdminGame	1800	2024-08-31 11:59:53	104.28.195.233:51872
675112	SweetHoney	1800	2024-08-31 12:00:21	113.185.108.97:20046
satthan1	Skulll	3400	2024-09-03 20:16:56	117.5.152.81:9926
kiemthest2	AdminGame	2200	2024-09-06 08:44:32	115.73.32.9:42178
lingnga	ShenNana	2200	2024-09-06 08:45:35	14.182.86.37:63959
kiemthest2	AdminGame	5000	2024-09-09 15:11:02	115.73.32.9:59347
satthan1	Skulll	5000	2024-09-09 17:15:21	117.5.153.128:57609
kiemthest2	AdminGame	6000	2024-09-14 18:13:33	27.65.215.95:9698
satthan1	Skulll	6000	2024-09-14 18:16:06	117.5.153.128:65233
bindx1102	MêÂmĐaoSĩ	200	2024-09-14 22:05:11	58.187.247.108:28353
nhutluu	bachlinh	400	2024-09-19 21:19:31	118.68.85.164:44760
kiemthest2	AdminGame	8000	2024-09-24 19:19:56	27.65.217.152:49377
satthan1	Skulll	8000	2024-09-24 19:36:17	117.5.153.181:14780
satthan2	Krulll	1500	2024-09-25 17:28:31	117.5.153.181:63467
satthan1	Skulll	3000	2024-09-25 17:30:09	117.5.153.181:41027
675112	SweetHoney	4000	2024-10-07 08:28:58	113.185.104.39:6354
satthan1	Skulll	9000	2024-10-07 17:42:29	117.5.153.76:48818
lingnga	ShenNana	5000	2024-10-16 15:02:48	14.239.169.136:17352
lingnga	ShenNana	5000	2024-10-16 15:10:45	14.239.169.136:17352
ngotuankaka	OneGame	10000	2024-10-20 13:57:58	117.6.195.205:6086
675113	Kimduyên	2000	2024-10-21 11:08:05	113.185.109.239:18679
sieuvirus	xXxMOZAxXx	1200	2024-11-17 18:03:24	171.224.177.18:28580
