TaiKhoan	TenNhanVat	VPKhuyenMai	ThoiGianNhan	IP		
satthan2	Krulll	3000	2024-01-23 19:27:45	117.5.153.169:11720
lingnga	ShenNana	3000	2024-01-23 19:44:05	123.26.144.136:52708
nvphat	HoanhKhả	336	2024-01-25 10:11:22	42.115.164.88:62776
kiemthest2	AdminGame	2520	2024-01-26 21:58:32	115.73.37.164:52680
longtkhuc	PhongCa	3000	2024-01-26 22:46:54	14.191.167.193:37191
minhtungw	XiaoHee	5040	2024-01-29 09:34:28	42.118.93.84:3814
thj3nth4n	Sjnhg4j	504	2024-01-29 11:38:55	42.117.234.16:18967
lingnga	ShenNana	2520	2024-01-29 15:19:12	123.26.144.136:23522
thj3nth4n	Sjnhg4j	1260	2024-01-30 17:05:03	42.117.234.16:47813
lingnga	ShenNana	1260	2024-01-30 17:18:24	123.26.144.136:46815
phamtai	NFxKriss	1260	2024-01-31 14:05:07	1.55.14.119:38232
vuhasooo	QuynhTrang	7000	2024-02-01 19:59:31	113.23.74.131:43833
satthan1	Skulll	6000	2024-02-07 21:32:36	117.5.153.198:25101
zxczxc25	TiêuPham	1260	2024-02-08 22:58:42	123.27.134.82:20204
kiemthest2	AdminGame	3000	2024-02-09 09:58:52	27.65.208.250:30944
bodauto	Satthuonline	2520	2024-02-09 15:49:47	171.236.57.228:35878
longtkhuc	PhongCa	3000	2024-02-09 17:56:27	14.191.165.152:62245
hoangan2310	Dawewn	336	2024-02-09 19:12:07	14.168.134.181:26584
doantuan	HạtBụiNhỏ	2520	2024-02-09 21:16:50	115.76.116.70:41464
satthan1	Skulll	4000	2024-02-10 12:26:33	117.5.153.198:12670
vietvnhp	TíCôNương	336	2024-02-10 14:47:20	14.191.169.184:5919
lingnga	ShenNana	4000	2024-02-11 20:21:19	14.182.86.222:5062
satthan1	Skulll	7000	2024-02-14 16:16:25	117.5.153.198:11113
ngochieuby	BốCuTí	336	2024-02-16 21:55:44	14.166.191.107:18155
vuhasoo	BeoCaca	7000	2024-02-17 17:32:09	113.23.122.235:12197
minhtungkg	XiaoXiao	7000	2024-02-19 11:06:21	42.118.93.115:22502
minhtungkg	XiaoXiao	7000	2024-02-20 09:13:25	42.118.93.135:15590
stylee	LoveStar	1200	2024-02-20 10:29:40	14.189.170.53:1778
huyccpll	xXZeusXx	840	2024-02-20 20:58:55	14.162.64.166:41674
kiemthest2	AdminGame	0	2024-02-21 18:43:45	171.232.164.70:35559
kiemthest2	AdminGame	10000	2024-02-21 18:43:59	171.232.164.70:35559
ngochieuby	BốCuTí	10000	2024-02-21 22:14:54	14.235.45.80:48579
ngochieuby	BốCuTí	1000	2024-02-22 10:28:06	14.182.242.156:62969
hieuhanh1	Kachiusa	336	2024-02-22 12:41:20	171.224.178.245:22646
vudoan177	TàiNgaoooo	336	2024-02-22 23:21:58	14.191.104.45:10586
hoangan2310	Dawewn	672	2024-02-23 11:58:56	14.168.134.181:64199
anhkhoi	MaVương	1008	2024-02-23 12:34:36	115.72.3.7:58591
hieuhanh1	Kachiusa	336	2024-02-23 17:42:54	171.224.178.245:41697
hieuhanh1	Kachiusa	336	2024-02-23 18:03:25	171.224.178.245:41697
hieuhanh1	Kachiusa	336	2024-02-23 19:44:16	171.224.178.245:43232
ngochieuby	BốCuTí	3360	2024-02-23 19:48:31	14.235.44.38:26572
kiemthest2	AdminGame	3360	2024-02-23 19:48:54	171.232.164.70:22002
zxczxc25	TiêuPham	2000	2024-02-23 21:22:37	14.167.21.12:65247
ngochieuby	BốCuTí	800	2024-02-23 21:55:22	14.235.44.38:20941
satthan1	Skulll	7000	2024-02-23 22:19:55	117.5.152.75:13380
vudoan177	TàiNgaoooo	1500	2024-02-24 22:55:19	14.191.104.45:59153
lingnga	ShenNana	6000	2024-02-25 14:03:09	14.249.197.131:60882
vanqui95	KenKing	504	2024-02-27 02:12:51	115.79.213.175:32205
tranbaoanh92	CocCoc	504	2024-02-27 13:09:00	58.186.192.32:45286
bodauto	Satthuonline	3500	2024-02-27 20:11:35	171.236.56.3:46000
vudoan177	TàiNgaoooo	1200	2024-02-27 20:43:45	14.191.104.45:41064
vudoan177	TàiNgaoooo	1500	2024-02-27 21:21:49	14.191.104.45:31250
giakiem	Đoàn	2000	2024-02-29 12:55:12	103.28.35.196:5092
giakiem	Đoàn	504	2024-02-29 12:55:20	103.28.35.196:5092
zxczxc25	TiêuPham	2000	2024-02-29 22:58:37	14.167.21.35:21992
minhtungq	XiaoBiao	2000	2024-03-01 10:25:42	42.118.93.98:1254
minhtungw	XiaoHee	2000	2024-03-01 12:18:25	42.118.93.98:38374
satthan2	Krulll	3500	2024-03-01 16:04:45	14.244.228.109:42209
vudoan177	TàiNgaoooo	4500	2024-03-01 19:35:33	14.191.104.45:23142
lingnga	ShenNana	3000	2024-03-08 13:52:30	113.177.156.37:15821
vuhasoo	BeoCaca	7000	2024-03-09 18:00:21	183.81.93.243:45957
satthan2	Krulll	3500	2024-03-09 19:06:31	117.5.153.105:10539
satthan1	Skulll	8000	2024-03-11 15:03:52	14.244.228.109:10193
khiemnd	TAMLANG	504	2024-03-11 21:27:50	113.188.57.229:28645
minhtungkg	XiaoXiao	8000	2024-03-12 10:11:43	42.118.93.205:49126
minhtungkg	XiaoXiao	12000	2024-03-12 12:22:47	42.118.93.205:10725
vuhasoo	BeoCaca	6000	2024-03-13 09:48:11	118.71.192.68:41781
vudoan177	TàiNgaoooo	1800	2024-03-13 20:04:16	14.191.102.144:59162
lingnga	ShenNana	8500	2024-03-14 18:44:22	14.182.86.80:24566
lingnga	ShenNana	1500	2024-03-14 18:45:19	14.182.86.80:24566
vuhasooo	QuynhTrang	3500	2024-03-14 20:57:04	118.71.192.21:46556
zxczxc25	TiêuPham	1850	2024-03-14 21:24:53	14.167.21.35:5572
khiemnd	TAMLANG	1200	2024-03-14 21:25:37	14.242.90.132:62431
khiemnd	TAMLANG	420	2024-03-15 21:23:36	14.242.90.132:62965
kiemthest2	AdminGame	420	2024-03-15 21:24:57	116.109.94.249:38860
satthan2	Krulll	10000	2024-03-15 21:42:58	117.5.153.105:10616
giakiem	Đoàn	840	2024-03-16 10:22:52	115.76.51.70:65329
haikutedn2212	bumblebee	420	2024-03-16 10:33:55	123.25.96.206:463
vuhasooo	QuynhTrang	4000	2024-03-17 08:36:21	118.71.192.84:38429
vulongthaitu	AmTien	252	2024-03-17 17:13:05	113.170.96.83:27587
khiemnd	TAMLANG	420	2024-03-18 20:27:55	14.242.90.132:30917
giakiem	Đoàn	3000	2024-03-18 20:38:22	103.177.35.91:33222
satthan1	Skulll	6000	2024-03-19 21:47:23	117.5.153.105:13126
minhcuong	MinhCoCa	252	2024-03-21 07:51:49	118.70.184.123:36933
minhcuong	MinhCoCa	6000	2024-03-21 07:51:57	118.70.184.123:36933
vuhasooo	QuynhTrang	12000	2024-03-23 17:43:41	42.113.252.244:52908
minhcuong	MinhCoCa	6000	2024-03-24 07:41:38	118.70.184.123:64896
vuhasoo	BeoCaca	3000	2024-03-24 19:13:36	183.81.75.23:63658
minhcuong	MinhCoCa	10000	2024-03-26 08:30:43	118.70.184.123:63813
minhcuong	MinhCoCa	3000	2024-03-27 15:10:45	118.70.184.123:37331
thanhan3609	TriệuTửLong	252	2024-03-29 08:57:43	115.75.50.96:13226
thanhan3609	TriệuTửLong	168	2024-03-29 08:57:53	115.75.50.96:13226
tanphat333	DarkLinght	252	2024-04-02 21:13:50	115.77.59.11:63209
buithohk	MìTômThanhLong	4000	2024-04-04 09:37:09	171.243.100.233:43982
coverz	Leonardo	8000	2024-04-05 16:06:24	116.97.108.156:14878
buithohk	MìTômThanhLong	4000	2024-04-06 10:58:15	171.243.100.233:33984
doantuan	HạtBụiNhỏ	4000	2024-04-06 10:58:38	117.5.152.213:34775
satthan2	Krulll	4000	2024-04-06 11:00:47	117.5.152.213:27922
coverz	Leonardo	3500	2024-04-06 16:00:07	116.97.108.156:56827
minhtungq	XiaoBiao	7000	2024-04-07 18:54:35	42.118.93.125:27888
minhtungw	XiaoHee	3500	2024-04-07 18:54:45	42.118.93.125:27632
buithohk	MìTômThanhLong	4500	2024-04-07 21:58:17	171.240.123.70:38381
lddung	MrClick	6000	2024-04-11 19:20:58	171.242.148.219:35524
lddung	MrClick	12000	2024-04-12 18:20:26	171.242.148.219:50375
eaesed	Forever	1008	2024-04-12 21:07:40	14.187.146.219:24805
buithohk	MìTômThanhLong	6000	2024-04-15 22:53:13	117.0.142.157:18414
buithohk	MìTômThanhLong	3000	2024-04-15 23:10:30	117.0.142.157:18414
docnhan30	NoNoName	8500	2024-04-17 10:14:58	115.77.165.185:14537
satthan1	Skulll	5000	2024-04-20 14:03:02	117.5.152.223:45891
satthan2	Krulll	5000	2024-04-20 14:11:24	117.5.152.223:10898
satthan2	Krulll	672	2024-04-21 20:09:41	117.5.152.223:49992
buithohk	MìTômThanhLong	504	2024-04-22 12:33:27	117.0.142.157:14530
buithohk	MìTômThanhLong	1890	2024-04-22 22:41:47	117.0.142.157:476
satthan1	Skulll	2520	2024-04-22 22:43:20	117.5.152.223:40633
docnhan30	NoNoName	1890	2024-04-24 09:21:20	115.77.132.15:31177
satthan1	Skulll	18000	2024-04-24 12:46:54	117.5.153.170:35239
satthan1	Skulll	30000	2024-04-24 17:28:44	117.5.153.170:55800
satthan2	Krulll	8400	2024-04-24 17:29:55	117.5.153.170:24811
satthan2	Krulll	9000	2024-04-26 20:36:10	117.5.153.170:48559
hoangan2310	Dawewn	5000	2024-05-01 20:12:02	14.168.134.205:14021
lingnga	ShenNana	35000	2024-05-02 15:50:13	14.181.142.201:35574
satthan2	Krulll	20000	2024-05-02 19:05:22	117.5.153.170:3319
hoangan2310	Dawewn	1260	2024-05-03 11:52:26	14.168.134.205:45513
lingnga	ShenNana	7560	2024-05-03 13:47:40	14.251.162.201:1275
hhhggg1	MạnhHùng	504	2024-05-04 14:33:36	171.234.105.16:9705
lingnga	ShenNana	10000	2024-05-04 15:13:44	14.251.162.201:60616
satthan1	Skulll	12600	2024-05-04 15:16:07	113.177.149.66:21702
satthan2	Krulll	7560	2024-05-04 15:16:14	113.177.149.66:21958
anhchangcodl	ZzVNKimzZ	504	2024-05-06 18:29:29	42.112.90.244:2957
trieuchau	SoWhat	504	2024-05-06 19:12:14	14.168.134.205:42446
susu	TunTun	504	2024-05-07 10:19:06	171.241.6.101:60175
hhhggg1	MạnhHùng	400	2024-05-11 13:35:33	116.107.84.236:62657
trieuchau	SoWhat	600	2024-05-11 19:26:08	203.162.43.19:13267
anhchangcodl	ZzVNKimzZ	1176	2024-05-11 20:04:25	42.119.144.10:18856
anhchangcodl	ZzVNKimzZ	5040	2024-05-14 09:19:23	42.119.144.10:54564
hhhggg1	MạnhHùng	252	2024-05-14 12:21:50	116.107.84.236:4800
satthan2	Krulll	6000	2024-05-15 20:40:48	117.5.152.87:47048
trieuchau	SoWhat	6000	2024-05-16 19:24:37	203.162.43.19:34275
satthan2	Krulll	2500	2024-05-17 13:54:55	113.186.63.87:59350
anhchangcodl	ZzVNKimzZ	11000	2024-05-17 17:10:47	42.119.144.10:3644
satthanpk5	TôVũĐiệp	11000	2024-05-18 09:54:47	192.168.2.14:57284
hhhggg1	MạnhHùng	3000	2024-05-18 11:34:56	116.107.84.236:59889
haikutedn2212	bumblebee	800	2024-05-19 10:49:10	123.25.96.206:52180
lingnga	ShenNana	8000	2024-05-19 15:03:35	113.164.142.141:42434
kiemthest2	AdminGame	1000	2024-05-21 08:21:06	27.65.220.153:13787
anhchangcodl	ZzVNKimzZ	1000	2024-05-21 08:24:43	42.119.144.49:2872
anhchangcodl	ZzVNKimzZ	3000	2024-05-21 08:37:34	42.119.144.49:62864
haidan1133	MrMinhBenz	300	2024-05-26 13:13:28	113.186.186.245:5083
hhhggg1	MạnhHùng	800	2024-05-27 12:32:53	116.107.111.40:31710
ngotuankaka	OneGame	3000	2024-05-28 18:18:20	171.242.11.5:13251
ngotuankaka	OneGame	3000	2024-05-29 18:43:29	171.242.11.5:25805
thjenhazovong	TiểuBànTử	2000	2024-06-08 00:59:29	118.68.59.62:27078
thjenhazovong	TiểuBànTử	1000	2024-06-08 10:27:58	118.68.59.62:57287
thjenhazovong	TiểuBànTử	504	2024-06-08 11:19:16	118.68.59.62:57287
anhchangcodl	ZzVNKimzZ	5000	2024-06-11 20:25:48	42.112.224.45:60635
kiemthest2	AdminGame	4200	2024-06-16 18:10:14	27.77.63.33:28363
anhchangcodl	ZzVNKimzZ	4200	2024-06-16 18:13:34	42.112.224.96:19346
kunkunzz	DươngDii	300	2024-06-17 00:28:18	42.115.186.90:44311
ktsatthan	HamChoi	504	2024-06-26 23:06:35	27.76.190.12:51648
ktsatthan	HamChoi	300	2024-06-26 23:06:45	27.76.190.12:51648
noraneko	Noraneko	300	2024-07-07 09:46:13	203.162.7.216:26569
noraneko	Noraneko	900	2024-07-08 08:33:48	203.162.7.216:24011
ktsatthan	HamChoi	12600	2024-07-15 07:07:53	58.186.218.95:56478
doantuan	HạtBụiNhỏ	6000	2024-07-15 17:43:47	117.5.153.207:28091
kiemthest2	AdminGame	6000	2024-07-15 18:17:00	171.232.160.93:57079
675112	SweetHoney	300	2024-07-17 19:32:20	171.234.9.214:40773
myaccount	LýMạcSầu	1000	2024-07-21 18:42:31	42.119.50.238:32746
myaccount	LýMạcSầu	300	2024-07-21 18:42:38	42.119.50.238:32746
myaccount	LýMạcSầu	840	2024-07-21 19:04:33	42.119.50.238:32746
ktsatthan	HamChoi	5000	2024-07-22 20:40:05	42.113.161.21:35347
