Name	Genre	DetailType	ParticularType	Level		
Băng Thanh	4	3	3005	10		
Băng Thanh	4	8	3005	10		
Băng Thanh	4	10	3005	10		
Băng Thanh	4	7	3005	10		
Băng Thanh	4	5	3005	10		
Băng Thanh	4	4	3005	10		
Băng Thanh	4	11	3005	10		
Băng Thanh	4	6	3005	10		
Lưu Viêm	4	9	3006	10		
Lưu Viêm	4	3	3006	10		
Lưu Viêm	4	8	3006	10		
Lưu Viêm	4	10	3006	10		
Lưu Viêm	4	7	3006	10		
Lưu Viêm	4	5	3006	10		
Lưu Viêm	4	4	3006	10		
Lưu Viêm	4	11	3006	10		
Lưu Viêm	4	6	3006	10		
Xích Vũ	4	9	3007	10		
Xích Vũ	4	3	3007	10		
Xích Vũ	4	8	3007	10		
Xích Vũ	4	10	3007	10		
Xích Vũ	4	7	3007	10		
Xích Vũ	4	5	3007	10		
Xích Vũ	4	4	3007	10		
Xích Vũ	4	11	3007	10		
Xích Vũ	4	6	3007	10		
Sương Ngạo Giang Sơn	4	9	3008	10		
Sương Ngạo Giang Sơn	4	3	3008	10		
Sương Ngạo Giang Sơn	4	8	3008	10		
Sương Ngạo Giang Sơn	4	10	3008	10		
Sương Ngạo Giang Sơn	4	7	3008	10		
Sương Ngạo Giang Sơn	4	5	3008	10		
Sương Ngạo Giang Sơn	4	4	3008	10		
Sương Ngạo Giang Sơn	4	11	3008	10		
Sương Ngạo Giang Sơn	4	6	3008	10		
Hồi Phong Phất Liễu	4	9	3009	10		
Hồi Phong Phất Liễu	4	3	3009	10		
Hồi Phong Phất Liễu	4	8	3009	10		
Hồi Phong Phất Liễu	4	10	3009	10		
Hồi Phong Phất Liễu	4	7	3009	10		
Hồi Phong Phất Liễu	4	5	3009	10		
Hồi Phong Phất Liễu	4	4	3009	10		
Hồi Phong Phất Liễu	4	11	3009	10		
Hồi Phong Phất Liễu	4	6	3009	10		
Phổ Độ Hoàng Kim	4	9	3010	10		
Phổ Độ Hoàng Kim	4	3	3010	10		
Phổ Độ Hoàng Kim	4	8	3010	10		
Phổ Độ Hoàng Kim	4	10	3010	10		
Phổ Độ Hoàng Kim	4	7	3010	10		
Phổ Độ Hoàng Kim	4	5	3010	10		
Phổ Độ Hoàng Kim	4	4	3010	10		
Phổ Độ Hoàng Kim	4	11	3010	10		
Phổ Độ Hoàng Kim	4	6	3010	10		
Tu La Hoàng Kim	4	9	3011	10		
Tu La Hoàng Kim	4	3	3011	10		
Tu La Hoàng Kim	4	8	3011	10		
Tu La Hoàng Kim	4	10	3011	10		
Tu La Hoàng Kim	4	7	3011	10		
Tu La Hoàng Kim	4	5	3011	10		
Tu La Hoàng Kim	4	4	3011	10		
Tu La Hoàng Kim	4	11	3011	10		
Tu La Hoàng Kim	4	6	3011	10		
Ngọc Bích Thanh Vân	4	9	3012	10		
Ngọc Bích Thanh Vân	4	3	3012	10		
Ngọc Bích Thanh Vân	4	8	3012	10		
Ngọc Bích Thanh Vân	4	10	3012	10		
Ngọc Bích Thanh Vân	4	7	3012	10		
Ngọc Bích Thanh Vân	4	5	3012	10		
Ngọc Bích Thanh Vân	4	4	3012	10		
Ngọc Bích Thanh Vân	4	11	3012	10		
Ngọc Bích Thanh Vân	4	6	3012	10		
Ngọc Bích Huyền Vân	4	9	3013	10		
Ngọc Bích Huyền Vân	4	3	3013	10		
Ngọc Bích Huyền Vân	4	8	3013	10		
Ngọc Bích Huyền Vân	4	10	3013	10		
Ngọc Bích Huyền Vân	4	7	3013	10		
Ngọc Bích Huyền Vân	4	5	3013	10		
Ngọc Bích Huyền Vân	4	4	3013	10		
Ngọc Bích Huyền Vân	4	11	3013	10		
Ngọc Bích Huyền Vân	4	6	3013	10		
Lưu Vũ Băng Châu	4	9	3014	10		
Lưu Vũ Băng Châu	4	3	3014	10		
Lưu Vũ Băng Châu	4	8	3014	10		
Lưu Vũ Băng Châu	4	10	3014	10		
Lưu Vũ Băng Châu	4	7	3014	10		
Lưu Vũ Băng Châu	4	5	3014	10		
Lưu Vũ Băng Châu	4	4	3014	10		
Lưu Vũ Băng Châu	4	11	3014	10		
Lưu Vũ Băng Châu	4	6	3014	10		
Ngọc Khiết Lãnh Hàn	4	9	3015	10		
Ngọc Khiết Lãnh Hàn	4	3	3015	10		
Ngọc Khiết Lãnh Hàn	4	8	3015	10		
Ngọc Khiết Lãnh Hàn	4	10	3015	10		
Ngọc Khiết Lãnh Hàn	4	7	3015	10		
Ngọc Khiết Lãnh Hàn	4	5	3015	10		
Ngọc Khiết Lãnh Hàn	4	4	3015	10		
Ngọc Khiết Lãnh Hàn	4	11	3015	10		
Ngọc Khiết Lãnh Hàn	4	6	3015	10		
Phong Viêm	4	9	3016	10		
Phong Viêm	4	3	3016	10		
Phong Viêm	4	8	3016	10		
Phong Viêm	4	10	3016	10		
Phong Viêm	4	7	3016	10		
Phong Viêm	4	5	3016	10		
Phong Viêm	4	4	3016	10		
Phong Viêm	4	11	3016	10		
Phong Viêm	4	6	3016	10		
Xích Vân	4	9	3017	10		
Xích Vân	4	3	3017	10		
Xích Vân	4	8	3017	10		
Xích Vân	4	10	3017	10		
Xích Vân	4	7	3017	10		
Xích Vân	4	5	3017	10		
Xích Vân	4	4	3017	10		
Xích Vân	4	11	3017	10		
Xích Vân	4	6	3017	10		
Tiếu Phong	4	9	3018	10		
Tiếu Phong	4	3	3018	10		
Tiếu Phong	4	8	3018	10		
Tiếu Phong	4	10	3018	10		
Tiếu Phong	4	7	3018	10		
Tiếu Phong	4	5	3018	10		
Tiếu Phong	4	4	3018	10		
Tiếu Phong	4	11	3018	10		
Tiếu Phong	4	6	3018	10		
Ngạo Tuyết	4	9	3019	10		
Ngạo Tuyết	4	3	3019	10		
Ngạo Tuyết	4	8	3019	10		
Ngạo Tuyết	4	10	3019	10		
Ngạo Tuyết	4	7	3019	10		
Ngạo Tuyết	4	5	3019	10		
Ngạo Tuyết	4	4	3019	10		
Ngạo Tuyết	4	11	3019	10		
Ngạo Tuyết	4	6	3019	10		
Kế Nghiệp Chiến Tướng	4	9	3020	10		
Kế Nghiệp Chiến Tướng	4	3	3020	10		
Kế Nghiệp Chiến Tướng	4	8	3020	10		
Kế Nghiệp Chiến Tướng	4	10	3020	10		
Kế Nghiệp Chiến Tướng	4	7	3020	10		
Kế Nghiệp Chiến Tướng	4	5	3020	10		
Kế Nghiệp Chiến Tướng	4	4	3020	10		
Kế Nghiệp Chiến Tướng	4	11	3020	10		
Kế Nghiệp Chiến Tướng	4	6	3020	10		
Kế Nghiệp Nữ Hùng	4	9	3021	10		
Kế Nghiệp Nữ Hùng	4	3	3021	10		
Kế Nghiệp Nữ Hùng	4	8	3021	10		
Kế Nghiệp Nữ Hùng	4	10	3021	10		
Kế Nghiệp Nữ Hùng	4	7	3021	10		
Kế Nghiệp Nữ Hùng	4	5	3021	10		
Kế Nghiệp Nữ Hùng	4	4	3021	10		
Kế Nghiệp Nữ Hùng	4	11	3021	10		
Kế Nghiệp Nữ Hùng	4	6	3021	10		
Thánh Hỏa Liêu Nguyên	4	9	3022	10		
Thánh Hỏa Liêu Nguyên	4	3	3022	10		
Thánh Hỏa Liêu Nguyên	4	8	3022	10		
Thánh Hỏa Liêu Nguyên	4	10	3022	10		
Thánh Hỏa Liêu Nguyên	4	7	3022	10		
Thánh Hỏa Liêu Nguyên	4	5	3022	10		
Thánh Hỏa Liêu Nguyên	4	4	3022	10		
Thánh Hỏa Liêu Nguyên	4	11	3022	10		
Thánh Hỏa Liêu Nguyên	4	6	3022	10		
Thánh Nữ	4	9	3023	10		
Thánh Nữ	4	3	3023	10		
Thánh Nữ	4	8	3023	10		
Thánh Nữ	4	10	3023	10		
Thánh Nữ	4	7	3023	10		
Thánh Nữ	4	5	3023	10		
Thánh Nữ	4	4	3023	10		
Thánh Nữ	4	11	3023	10		
Thánh Nữ	4	6	3023	10		
Sa Châu Mạn Thủy	4	9	3024	10		
Sa Châu Mạn Thủy	4	3	3024	10		
Sa Châu Mạn Thủy	4	8	3024	10		
Sa Châu Mạn Thủy	4	10	3024	10		
Sa Châu Mạn Thủy	4	7	3024	10		
Sa Châu Mạn Thủy	4	5	3024	10		
Sa Châu Mạn Thủy	4	4	3024	10		
Sa Châu Mạn Thủy	4	11	3024	10		
Sa Châu Mạn Thủy	4	6	3024	10		
Băng Vân Vạn Thủy	4	9	3025	10		
Băng Vân Vạn Thủy	4	3	3025	10		
Băng Vân Vạn Thủy	4	8	3025	10		
Băng Vân Vạn Thủy	4	10	3025	10		
Băng Vân Vạn Thủy	4	7	3025	10		
Băng Vân Vạn Thủy	4	5	3025	10		
Băng Vân Vạn Thủy	4	4	3025	10		
Băng Vân Vạn Thủy	4	11	3025	10		
Băng Vân Vạn Thủy	4	6	3025	10		
Liệt Hỏa Chiến Tướng	4	9	3026	10		
Liệt Hỏa Chiến Tướng	4	3	3026	10		
Liệt Hỏa Chiến Tướng	4	8	3026	10		
Liệt Hỏa Chiến Tướng	4	10	3026	10		
Liệt Hỏa Chiến Tướng	4	7	3026	10		
Liệt Hỏa Chiến Tướng	4	5	3026	10		
Liệt Hỏa Chiến Tướng	4	4	3026	10		
Liệt Hỏa Chiến Tướng	4	11	3026	10		
Liệt Hỏa Chiến Tướng	4	6	3026	10		
Liệt Hỏa Chiến Tướng	4	9	3027	10		
Liệt Hỏa Chiến Tướng	4	3	3027	10		
Liệt Hỏa Chiến Tướng	4	8	3027	10		
Liệt Hỏa Chiến Tướng	4	10	3027	10		
Liệt Hỏa Chiến Tướng	4	7	3027	10		
Liệt Hỏa Chiến Tướng	4	5	3027	10		
Liệt Hỏa Chiến Tướng	4	4	3027	10		
Liệt Hỏa Chiến Tướng	4	11	3027	10		
Liệt Hỏa Chiến Tướng	4	6	3027	10		
Hỗn Nguyên Càn Khôn	4	9	3028	10		
Hỗn Nguyên Càn Khôn	4	3	3028	10		
Hỗn Nguyên Càn Khôn	4	8	3028	10		
Hỗn Nguyên Càn Khôn	4	10	3028	10		
Hỗn Nguyên Càn Khôn	4	7	3028	10		
Hỗn Nguyên Càn Khôn	4	5	3028	10		
Hỗn Nguyên Càn Khôn	4	4	3028	10		
Hỗn Nguyên Càn Khôn	4	11	3028	10		
Hỗn Nguyên Càn Khôn	4	6	3028	10		
Huyền Thiên Vô Cực	4	9	3029	10		
Huyền Thiên Vô Cực	4	3	3029	10		
Huyền Thiên Vô Cực	4	8	3029	10		
Huyền Thiên Vô Cực	4	10	3029	10		
Huyền Thiên Vô Cực	4	7	3029	10		
Huyền Thiên Vô Cực	4	5	3029	10		
Huyền Thiên Vô Cực	4	4	3029	10		
Huyền Thiên Vô Cực	4	11	3029	10		
Huyền Thiên Vô Cực	4	6	3029	10		
