ID	Category	Kind	Storage	Consume	Name	Belong	SkillLevel	Cost	ExpGain	MakeTime	AutoAppend	Produce1Genre	Produce1Detail	Produce1Parti	Produce1Level	Produce1Luck	Produce1Series	Produce1Bind	Produce1Rate	Produce2Genre	Produce2Detail	Produce2Parti	Produce2Level	Produce2Luck	Produce2Series	Produce2Bind	Produce2Rate	Produce3Genre	Produce3Detail	Produce3Parti	Produce3Level	Produce3Luck	Produce3Series	Produce3Bind	Produce3Rate	Stuff1Genre	Stuff1Detail	Stuff1Parti	Stuff1Level	Stuff1Series	Stuff1Bind	Stuff1Num	Stuff2Genre	Stuff2Detail	Stuff2Parti	Stuff2Level	Stuff2Series	Stuff2Bind	Stuff2Num	Stuff3Genre	Stuff3Detail	Stuff3Parti	Stuff3Level	Stuff3Series	Stuff3Bind	Stuff3Num	Stuff4Genre	Stuff4Detail	Stuff4Parti	Stuff4Level	Stuff4Series	Stuff4Bind	Stuff4Num	Stuff5Genre	Stuff5Detail	Stuff5Parti	Stuff5Level	Stuff5Series	Stuff5Bind	Stuff5Num	Desc
31	6	8	1	1	Lụa dã tàm	2	1	5	100	18	1	22	1	8	1	0	0		100																	22	1	7	1	0		1																													
32	6	8	1	1	Lụa tang tàm	2	10	10	200	18	1	22	1	8	2	0	0		100																	22	1	7	2	0		1																													
33	6	8	1	1	Lụa lang thù	2	20	30	600	18	1	22	1	8	3	0	0		100																	22	1	7	3	0		1																													
34	6	8	1	1	Lụa bạch tàm	2	30	80	1600	18	1	22	1	8	4	0	0		100																	22	1	7	4	0		1																													
35	6	8	1	1	Lụa huyết tàm	2	40	140	2800	18	1	22	1	8	5	0	0		100																	22	1	7	5	0		1																													
36	6	8	1	1	Lụa lãnh trùng	2	50	210	4200	18	1	22	1	8	6	0	0		100																	22	1	7	6	0		1																													
37	6	8	1	1	Lụa ô tàm	2	60	400	8000	18	1	22	1	8	7	0	0		100																	22	1	7	7	0		1																													
38	6	8	1	1	Lụa kim tàm	2	70	600	12000	18	1	22	1	8	8	0	0		100																	22	1	7	8	0		1																													
39	6	8	1	1	Lụa băng tàm	2	80	1000	20000	18	1	22	1	8	9	0	0		100																	22	1	7	9	0		1																													
40	6	8	1	1	Lụa thiên tàm	2	90	1750	35000	18	1	22	1	8	10	0	0		100																	22	1	7	10	0		1																													
41	6	9	1	1	Bột tàng hồng hoa	3	1	2	40	18	1	22	1	10	1	0	0		100																	22	1	9	1	0		1																													
42	6	9	1	1	Bột kết cánh	3	10	10	200	18	1	22	1	10	2	0	0		100																	22	1	9	2	0		1																													
43	6	9	1	1	Bột bạch thược	3	20	10	200	18	1	22	1	10	3	0	0		100																	22	1	9	3	0		1																													
44	6	9	1	1	Bột bối mẫu	3	30	30	600	18	1	22	1	10	4	0	0		100																	22	1	9	4	0		1																													
45	6	9	1	1	Bột điền thất	3	40	30	600	18	1	22	1	10	5	0	0		100																	22	1	9	5	0		1																													
46	6	9	1	1	Bột chu quả	3	50	90	1800	18	1	22	1	10	6	0	0		100																	22	1	9	6	0		1																													
47	6	9	1	1	Bột đương quy	3	60	60	1200	18	1	22	1	10	7	0	0		100																	22	1	9	7	0		1																													
48	6	9	1	1	Bột trùng thảo	3	70	270	5400	18	1	22	1	10	8	0	0		100																	22	1	9	8	0		1																													
49	6	9	1	1	Bột linh chi	3	80	100	2000	18	1	22	1	10	9	0	0		100																	22	1	9	9	0		1																													
50	6	9	1	1	Bột tuyết liên	3	90	810	16200	18	1	22	1	10	10	0	0		100																	22	1	9	10	0		1																													
51	6	47	1	1	Bột khương huỳnh	3	1	2	40	18	1	22	1	12	1	0	0		100																	22	1	11	1	0		1																													
52	6	47	1	1	Bột kim ngân hoa	3	10	10	200	18	1	22	1	12	2	0	0		100																	22	1	11	2	0		1																													
53	6	47	1	1	Bột sài hồ	3	20	10	200	18	1	22	1	12	3	0	0		100																	22	1	11	3	0		1																													
54	6	47	1	1	Bột tử thảo	3	30	30	600	18	1	22	1	12	4	0	0		100																	22	1	11	4	0		1																													
55	6	47	1	1	Bột hoắc hương	3	40	30	600	18	1	22	1	12	5	0	0		100																	22	1	11	5	0		1																													
56	6	47	1	1	Bột hạ cô thảo	3	50	90	1800	18	1	22	1	12	6	0	0		100																	22	1	11	6	0		1																													
57	6	47	1	1	Bột thủ ô	3	60	60	1200	18	1	22	1	12	7	0	0		100																	22	1	11	7	0		1																													
58	6	47	1	1	Bột đại hoàng	3	70	270	5400	18	1	22	1	12	8	0	0		100																	22	1	11	8	0		1																													
59	6	47	1	1	Bột nhân sâm	3	80	100	2000	18	1	22	1	12	9	0	0		100																	22	1	11	9	0		1																													
60	6	47	1	1	Bột bạch long tu	3	90	810	16200	18	1	22	1	12	10	0	0		100																	22	1	11	10	0		1																													
61	6	10	1	1	Tấm gỗ thông	4	1	5	100	18	1	22	1	14	1	0	0		100																	22	1	13	1	0		1																													
62	6	10	1	1	Tấm gỗ táo	4	10	10	200	18	1	22	1	14	2	0	0		100																	22	1	13	2	0		1																													
63	6	10	1	1	Tấm gỗ bách	4	20	30	600	18	1	22	1	14	3	0	0		100																	22	1	13	3	0		1																													
64	6	10	1	1	Tấm gỗ phong	4	30	80	1600	18	1	22	1	14	4	0	0		100																	22	1	13	4	0		1																													
65	6	10	1	1	Tấm gỗ ô	4	40	140	2800	18	1	22	1	14	5	0	0		100																	22	1	13	5	0		1																													
66	6	10	1	1	Tấm gỗ thiết mộc	4	50	210	4200	18	1	22	1	14	6	0	0		100																	22	1	13	6	0		1																													
67	6	10	1	1	Tấm gỗ hoa lê	4	60	400	8000	18	1	22	1	14	7	0	0		100																	22	1	13	7	0		1																													
68	6	10	1	1	Tấm gỗ ngô đồng	4	70	600	12000	18	1	22	1	14	8	0	0		100																	22	1	13	8	0		1																													
69	6	10	1	1	Tấm gỗ tử đàn	4	80	750	15000	18	1	22	1	14	9	0	0		100																	22	1	13	9	0		1																													
70	6	10	1	1	Tấm gỗ trầm hương	4	90	1750	35000	18	1	22	1	14	10	0	0		100																	22	1	13	10	0		1																													
71	6	48	1	1	Tấm gỗ dương	4	1	5	100	18	1	22	1	16	1	0	0		100																	22	1	15	1	0		1																													
72	6	48	1	1	Tấm gỗ sam	4	10	10	200	18	1	22	1	16	2	0	0		100																	22	1	15	2	0		1																													
73	6	48	1	1	Tấm gỗ cứng	4	20	30	600	18	1	22	1	16	3	0	0		100																	22	1	15	3	0		1																													
74	6	48	1	1	Tấm gỗ mít	4	30	80	1600	18	1	22	1	16	4	0	0		100																	22	1	15	4	0		1																													
75	6	48	1	1	Tấm gỗ bồ đề	4	40	160	3200	18	1	22	1	16	5	0	0		100																	22	1	15	5	0		1																													
76	6	48	1	1	Tấm gỗ thiết chương	4	50	300	6000	18	1	22	1	16	6	0	0		100																	22	1	15	6	0		1																													
77	6	48	1	1	Tấm gỗ thiết tuyến	4	60	400	8000	18	1	22	1	16	7	0	0		100																	22	1	15	7	0		1																													
78	6	48	1	1	Tấm gỗ thanh long	4	70	600	12000	18	1	22	1	16	8	0	0		100																	22	1	15	8	0		1																													
79	6	48	1	1	Tấm gỗ ngà voi	4	80	900	18000	18	1	22	1	16	9	0	0		100																	22	1	15	9	0		1																													
80	6	48	1	1	Tấm gỗ hàng long	4	90	2400	48000	18	1	22	1	16	10	0	0		100																	22	1	15	10	0		1																													
81	6	11	1	1	Da chó	5	1	5	100	18	1	22	1	18	1	0	0		100																	22	1	17	1	0		1																													
82	6	11	1	1	Da hươu	5	10	10	200	18	1	22	1	18	2	0	0		100																	22	1	17	2	0		1																													
83	6	11	1	1	Da bò	5	20	30	600	18	1	22	1	18	3	0	0		100																	22	1	17	3	0		1																													
84	6	11	1	1	Da hồ ly	5	30	80	1600	18	1	22	1	18	4	0	0		100																	22	1	17	4	0		1																													
85	6	11	1	1	Da rắn	5	40	140	2800	18	1	22	1	18	5	0	0		100																	22	1	17	5	0		1																													
86	6	11	1	1	Da sư tử	5	50	210	4200	18	1	22	1	18	6	0	0		100																	22	1	17	6	0		1																													
87	6	11	1	1	Da cá sấu	5	60	400	8000	18	1	22	1	18	7	0	0		100																	22	1	17	7	0		1																													
88	6	11	1	1	Da vượn lớn	5	70	600	12000	18	1	22	1	18	8	0	0		100																	22	1	17	8	0		1																													
89	6	11	1	1	Da bạch hổ	5	80	1000	20000	18	1	22	1	18	9	0	0		100																	22	1	17	9	0		1																													
90	6	11	1	1	Da cự điểu	5	90	1750	35000	18	1	22	1	18	10	0	0		100																	22	1	17	10	0		1																													
91	6	49	1	1	Da dê	5	1	5	100	18	1	22	1	20	1	0	0		100																	22	1	19	1	0		1																													
92	6	49	1	1	Da sói	5	10	10	200	18	1	22	1	20	2	0	0		100																	22	1	19	2	0		1																													
93	6	49	1	1	Quy giáp	5	20	30	600	18	1	22	1	20	3	0	0		100																	22	1	19	3	0		1																													
94	6	49	1	1	Da chồn	5	30	80	1600	18	1	22	1	20	4	0	0		100																	22	1	19	4	0		1																													
95	6	49	1	1	Da hổ	5	40	140	2800	18	1	22	1	20	5	0	0		100																	22	1	19	5	0		1																													
96	6	49	1	1	Da gấu	5	50	210	4200	18	1	22	1	20	6	0	0		100																	22	1	19	6	0		1																													
97	6	49	1	1	Da trăn	5	60	400	8000	18	1	22	1	20	7	0	0		100																	22	1	19	7	0		1																													
98	6	49	1	1	Da rắn mối	5	70	600	12000	18	1	22	1	20	8	0	0		100																	22	1	19	8	0		1																													
99	6	49	1	1	Da gấu điên	5	80	750	15000	18	1	22	1	20	9	0	0		100																	22	1	19	9	0		1																													
100	6	49	1	1	Da voi lớn	5	90	1750	35000	18	1	22	1	20	10	0	0		100																	22	1	19	10	0		1																													
1001	8	39	1		Kim Sáng Dược (tiểu)-Rương	8	1	8	120	54	1	18	1	28	1	100	0		100																	22	1	10	1	0		4					0																								
1002	8	39	1		Ngưng Thần Đơn (tiểu)-Rương	8	1	8	120	54	1	18	1	29	1	100	0		100																	22	1	12	1	0		4					0																								
1003	8	39	1		Thừa Tiên Mật (tiểu)-Rương	8	10	8	120	54	1	18	1	30	1	100	0		100																	22	1	10	1	0		2	22	1	12	1	0		2																						
1004	8	40	1	1	Bách Quả Lộ (tiểu)	8	10	30	450	54	1	19	4	1	1	100	0		100																	22	1	10	2	0		3					0																								
1005	8	39	1		Kim Sáng Dược (trung)-Rương	8	20	80	1200	54	1	18	1	31	1	100	0		100																	22	1	10	3	0		7	22	1	10	1	0		5																						
1006	8	39	1		Ngưng Thần Đơn (trung)-Rương	8	20	80	1200	54	1	18	1	32	1	100	0		100																	22	1	12	3	0		7	22	1	12	1	0		5																						
1007	8	39	1		Thừa Tiên Mật (trung)-Rương	8	30	80	1200	54	1	18	1	33	1	100	0		100																	22	1	10	3	0		4	22	1	12	3	0		4																						
1008	8	40	1	1	Bách Quả Lộ (trung)	8	30	90	1350	54	1	19	4	1	2	100	0		100																	22	1	10	4	0		3					0																								
1009	8	39	1		Kim Sáng Dược (đại)-Rương	8	40	240	3600	54	1	18	1	34	1	100	0		100																	22	1	10	5	0		7	22	1	10	3	0		3																						
1010	8	39	1		Ngưng Thần Đơn (đại)-Rương	8	40	240	3600	54	1	18	1	35	1	100	0		100																	22	1	12	5	0		7	22	1	12	3	0		3																						
1011	8	39	1		Thừa Tiên Mật (đại)-Rương	8	50	240	3600	54	1	18	1	36	1	100	0		100																	22	1	10	5	0		4	22	1	12	5	0		4																						
1012	8	40	1	1	Bách Quả Lộ (đại)	8	50	270	4050	54	1	19	4	1	3	100	0		100																	22	1	10	6	0		3					0																								
1013	8	39	1		Hồi Thiên Đơn - Rương	8	60	480	7200	54	1	18	1	37	1	100	0		100																	22	1	10	7	0		7	22	1	10	5	0		2																						
1014	8	39	1		Đại Bổ Tán - Rương	8	60	480	7200	54	1	18	1	38	1	100	0		100																	22	1	12	7	0		7	22	1	12	5	0		2																						
1015	8	39	1		Thất Xảo Bổ Tâm Đơn - Rương	8	70	480	7200	54	1	18	1	39	1	100	0		100																	22	1	10	7	0		4	22	1	12	7	0		4																						
1016	8	40	1	1	Trùng Thảo Tụ Nguyên Lộ	8	70	810	12150	54	1	19	4	1	4	100	0		100																	22	1	10	8	0		3					0																								
1017	8	39	1		Cửu Chuyển Hoàn Hồn Đơn - Rương	8	80	800	12000	54	1	18	1	40	1	100	0		100																	22	1	10	9	0		5	22	1	10	7	0		5																						
1018	8	39	1		Thủ Ô Hoàn Thần Đơn - Rương	8	80	800	12000	54	1	18	1	41	1	100	0		100																	22	1	12	9	0		5	22	1	12	7	0		5																						
1019	8	39	1		Ngũ Hoa Ngọc Lộ Hoàn - Rương	8	90	800	12000	54	1	18	1	42	1	100	0		100																	22	1	10	9	0		4	22	1	12	9	0		4																						
1020	8	40	1	1	Thiên Sơn Ngọc Lộ	8	90	2430	36450	54	1	19	4	1	5	100	0		100																	22	1	10	10	0		3					0																								
1021	8	39	1		Linh Chi Tục Mệnh Hoàn - Rương	8	90	2400	36000	54	1	18	1	241	1	100	0		100																	22	1	10	9	0		15	22	1	10	7	0		15																						
1022	8	39	1		Tuyết Tham Phản Khí Hoàn - Rương	8	90	2400	36000	54	1	18	1	242	1	100	0		100																	22	1	12	9	0		15	22	1	12	7	0		15																						
1023	8	39	1		Dao Trì Đại Hoàn Đơn - Rương	8	90	2400	36000	54	1	18	1	243	1	100	0		100																	22	1	10	9	0		12	22	1	12	9	0		12																						
1024	8	40	1	1	Vị trí dược phẩm	8	30	1	20	54	0	17	5	1	4	100	0		100																	22	1	10	9	0		2	22	1	10	8	0		1																						
1025	8	40	1	1	Vị trí dược phẩm	8	40	1	20	54	0	17	5	1	5	100	0		100																	22	1	10	10	0		2	22	1	10	9	0		1																						
1276	7	45	1		Truyền Tống Phù (Tân Thủ Thôn)-Rương	10	1	150	2250	54	1	18	1	92	1	100	0		100																	22	1	6	1	0		30																													
1277	7	45	1	1	Túi da thú	10	10	25	375	54	1	21	1	1	1	100	0		100																	22	1	8	2	0		1	22	1	8	1	0		3																						
1278	7	45	1	0	Truyền Tống Phù (môn phái)-Rương	10	20	200	3000	54	1	18	1	94	3	100	0		100																	22	1	6	2	0		10	22	1	6	1	0		20																						
1279	7	45	1	1	Túi Tử Lăng	10	30	80	1200	54	1	21	2	1	1	100	0		100																	22	1	8	3	0		2	22	1	8	2	0		2																						
1280	7	45	1		Truyền Tống Phù (thành thị)-Rương	10	40	200	3000	54	1	18	1	93	2	100	0		100																	22	1	6	2	0		10	22	1	6	1	0		20																						
1281	7	45	1	1	Túi Cẩm Ti	10	50	220	3300	54	1	21	3	1	1	100	0		100																	22	1	8	5	0		1	22	1	8	4	0		1																						
1282	7	45	1	1	Túi Hoàng Trù	10	60	610	9150	54	1	21	4	1	1	100	0		100																	22	1	8	7	0		1	22	1	8	6	0		1																						
1283	7	45	1	1	Túi Tâm Ấn	10	70	2000	30000	54	1	21	5	1	1	100	0		100																	22	1	8	8	0		2	22	1	8	7	0		2																						
1284	7	45	1	1	Túi da chồn	10	80	6000	90000	54	1	21	6	1	1	100	0		100																	22	1	8	9	0		3	22	1	8	8	0		5																						
1285	7	45	1	1	Túi Kim Ngọc	10	90	17500	262500	54	1	21	7	1	1	100	0		100																	22	1	8	10	0		6	22	1	8	9	0		7																						
1286	6	1	0	1	Thỏi đồng nhẹ	1	1	0	0	27	1	22	1	22	1	100	0		100																	22	1	21	1	0		1																													
1287	6	1	0	1	Vải vụn á ma	2	1	0	0	27	1	22	1	24	1	100	0		100																	22	1	23	1	0		1																													
1288	6	1	0	1	Bột tàng hồng hoa (tiểu)	3	1	0	0	27	1	22	1	26	1	100	0		100																	22	1	25	1	0		1																													
1289	6	1	0	1	Tấm gỗ thông có hoa văn	4	1	0	0	27	1	22	1	28	1	100	0		100																	22	1	27	1	0		1																													
1290	6	1	0	1	Mảnh da dê nhỏ	5	1	0	0	27	1	22	1	30	1	100	0		100																	22	1	29	1	0		1																													
1291	3	1	0	1	Nhuyễn Đồng Kiếm	6	1	0	0	54	1	1	1	7	1	0	3		100																	22	1	22	1	0		1																													
1292	2	1	0	1	Lữ Hành Ngoa	7	1	0	0	54	1	1	7	3	1	0	2		100																	22	1	30	1	0		1																													
1293	8	1	0	1	Rương thuốc	8	1	0	0	54	1	18	1	54	1	100	0		100																	22	1	26	1	0		1																													
1294	5	1	0	1	Tùng Mộc Phù	9	1	0	0	54	1	1	6	2	1	0	5		100																	22	1	28	1	0		1																													
1295	7	1	0	1	Truyền Tống Phù Thô (Tân Thủ Thôn)	10	1	0	0	54	1	18	1	55	1	100	0		100																	22	1	24	1	0		1																													
1296	9	2	1		Ma Đao Thạch (cấp 1)-Rương	6	1	5	100	54	1	18	1	72	1	100	0		100																	22	1	4	1	0		1																													(Chế tạo được nhiều kinh nghiệm)
1297	9	2	1		Ma Đao Thạch (cấp 2)-Rương	6	10	15	300	54	1	18	1	72	2	100	0		100																	22	1	4	2	0		1	22	1	4	1	0		1																						(Chế tạo được nhiều kinh nghiệm)
1298	9	2	1		Ma Đao Thạch (cấp 3)-Rương	6	20	40	800	54	1	18	1	72	3	100	0		100																	22	1	4	3	0		1	22	1	4	2	0		2																						(Chế tạo được nhiều kinh nghiệm)
1299	9	2	1		Ma Đao Thạch (cấp 4)-Rương	6	30	140	2800	54	1	18	1	72	4	100	0		100																	22	1	4	4	0		1	22	1	4	3	0		2																						(Chế tạo được nhiều kinh nghiệm)
1300	9	2	1		Ma Đao Thạch (cấp 5)-Rương	6	40	380	7600	54	1	18	1	72	5	100	0		100																	22	1	4	5	0		1	22	1	4	4	0		3																						(Chế tạo được nhiều kinh nghiệm)
1301	9	2	1		Ma Đao Thạch (cấp 6)-Rương	6	50	630	12600	54	1	18	1	72	6	100	0		100																	22	1	4	6	0		1	22	1	4	5	0		3																						(Chế tạo được nhiều kinh nghiệm)
1302	9	2	1		Ma Đao Thạch (cấp 7)-Rương	6	60	1830	36600	54	1	18	1	72	7	100	0		100																	22	1	4	7	0		3	22	1	4	6	0		3																						(Chế tạo được nhiều kinh nghiệm)
1303	9	2	1		Ma Đao Thạch (cấp 8)-Rương	6	70	5400	108000	54	1	18	1	72	8	100	0		100																	22	1	4	8	0		5	22	1	4	7	0		6																						(Chế tạo được nhiều kinh nghiệm)
1304	9	2	1		Ma Đao Thạch (cấp 9)-Rương	6	80	16000	320000	54	1	18	1	72	9	100	0		100																	22	1	4	9	0		10	22	1	4	8	0		10																						(Chế tạo được nhiều kinh nghiệm)
1305	9	2	1		Ma Đao Thạch (cấp 10)-Rương	6	90	50000	1000000	54	1	18	1	72	10	100	0		100																	22	1	4	10	0		20	22	1	4	9	0		15																						(Chế tạo được nhiều kinh nghiệm)
1306	10	3	1		Hộ Giáp Phiến (cấp 1)-Rương	7	1	5	100	54	1	18	1	73	1	100	0		100																	22	1	18	1	0		1																													(Chế tạo được nhiều kinh nghiệm)
1307	10	3	1		Hộ Giáp Phiến (cấp 2)-Rương	7	10	15	300	54	1	18	1	73	2	100	0		100																	22	1	18	2	0		1	22	1	18	1	0		1																						(Chế tạo được nhiều kinh nghiệm)
1308	10	3	1		Hộ Giáp Phiến (cấp 3)-Rương	7	20	40	800	54	1	18	1	73	3	100	0		100																	22	1	18	3	0		1	22	1	18	2	0		2																						(Chế tạo được nhiều kinh nghiệm)
1309	10	3	1		Hộ Giáp Phiến (cấp 4)-Rương	7	30	140	2800	54	1	18	1	73	4	100	0		100																	22	1	18	4	0		1	22	1	18	3	0		2																						(Chế tạo được nhiều kinh nghiệm)
1310	10	3	1		Hộ Giáp Phiến (cấp 5)-Rương	7	40	380	7600	54	1	18	1	73	5	100	0		100																	22	1	18	5	0		1	22	1	18	4	0		3																						(Chế tạo được nhiều kinh nghiệm)
1311	10	3	1		Hộ Giáp Phiến (cấp 6)-Rương	7	50	630	12600	54	1	18	1	73	6	100	0		100																	22	1	18	6	0		1	22	1	18	5	0		3																						(Chế tạo được nhiều kinh nghiệm)
1312	10	3	1		Hộ Giáp Phiến (cấp 7)-Rương	7	60	1830	36600	54	1	18	1	73	7	100	0		100																	22	1	18	7	0		3	22	1	18	6	0		3																						(Chế tạo được nhiều kinh nghiệm)
1313	10	3	1		Hộ Giáp Phiến (cấp 8)-Rương	7	70	5400	108000	54	1	18	1	73	8	100	0		100																	22	1	18	8	0		5	22	1	18	7	0		6																						(Chế tạo được nhiều kinh nghiệm)
1314	10	3	1		Hộ Giáp Phiến (cấp 9)-Rương	7	80	16000	32000	54	1	18	1	73	9	100	0		100																	22	1	18	9	0		10	22	1	18	8	0		10																						(Chế tạo được nhiều kinh nghiệm)
1315	10	3	1		Hộ Giáp Phiến (cấp 10)-Rương	7	90	50000	1000000	54	1	18	1	73	10	100	0		100																	22	1	18	10	0		20	22	1	18	9	0		15																						(Chế tạo được nhiều kinh nghiệm)
1316	11	4	1		Ngũ Hành Thạch (cấp 1)-Rương	9	1	5	100	54	1	18	1	74	1	100	0		100																	22	1	4	1	0		1																													(Chế tạo được nhiều kinh nghiệm)
1317	11	4	1		Ngũ Hành Thạch (cấp 2)-Rương	9	10	15	300	54	1	18	1	74	2	100	0		100																	22	1	4	2	0		1	22	1	4	1	0		1																						(Chế tạo được nhiều kinh nghiệm)
1318	11	4	1		Ngũ Hành Thạch (cấp 3)-Rương	9	20	40	800	54	1	18	1	74	3	100	0		100																	22	1	4	3	0		1	22	1	4	2	0		2																						(Chế tạo được nhiều kinh nghiệm)
1319	11	4	1		Ngũ Hành Thạch (cấp 4)-Rương	9	30	140	2800	54	1	18	1	74	4	100	0		100																	22	1	4	4	0		1	22	1	4	3	0		2																						(Chế tạo được nhiều kinh nghiệm)
1320	11	4	1		Ngũ Hành Thạch (cấp 5)-Rương	9	40	380	7600	54	1	18	1	74	5	100	0		100																	22	1	4	5	0		1	22	1	4	4	0		3																						(Chế tạo được nhiều kinh nghiệm)
1321	11	4	1		Ngũ Hành Thạch (cấp 6)-Rương	9	50	630	12600	54	1	18	1	74	6	100	0		100																	22	1	4	6	0		1	22	1	4	5	0		3																						(Chế tạo được nhiều kinh nghiệm)
1322	11	4	1		Ngũ Hành Thạch (cấp 7)-Rương	9	60	1830	36600	54	1	18	1	74	7	100	0		100																	22	1	4	7	0		3	22	1	4	6	0		3																						(Chế tạo được nhiều kinh nghiệm)
1323	11	4	1		Ngũ Hành Thạch (cấp 8)-Rương	9	70	5400	108000	54	1	18	1	74	8	100	0		100																	22	1	4	8	0		5	22	1	4	7	0		6																						(Chế tạo được nhiều kinh nghiệm)
1324	11	4	1		Ngũ Hành Thạch (cấp 9)-Rương	9	80	16000	320000	54	1	18	1	74	9	100	0		100																	22	1	4	9	0		10	22	1	4	8	0		10																						(Chế tạo được nhiều kinh nghiệm)
1325	11	4	1		Ngũ Hành Thạch (cấp 10)-Rương	9	90	50000	1000000	54	1	18	1	74	10	100	0		100																	22	1	4	10	0		20	22	1	4	9	0		15																						(Chế tạo được nhiều kinh nghiệm)
1346	6	1	1	1	Kẹo nguyệt quế	3	1	125	1250	27	1	22	1	32	1	100	0		100																	22	1	31	1	0		1																													
