Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	UnLockInterval
[Ngoại trang] Như Ý Thanh Hồng Giáp	Khoác-Nam	1	1	25	52	1	\image\item\equip\armor\wz_ma_2_yi_s.spr	\image\item\equip\armor\wz_ma_2_yi.spr	21				1	10000			1	0	equip	32		disguise_part_base	32	32	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại trang] Lưu Tiên Thủy Văn Sam	Khoác-Nữ	1	1	25	53	1	\image\item\equip\armor\wz_fm_2_yi_s.spr	\image\item\equip\armor\wz_fm_2_yi.spr	21				1	10000			1	0	equip		32	disguise_part_base	32	32	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại trang] Sí Nhiễm Hoa Y	Khoác-Nam	1	1	25	54	1	\image\item\equip\armor\ma_armor_xmas_s.spr	\image\item\equip\armor\ma_armor_xmas.spr	20				1	10000			1	0	equip	44		disguise_part_base	44	44	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại trang] Long Dĩnh Sam	Khoác-Nữ	1	1	25	55	1	\image\item\equip\armor\fm_armor_newyear_s.spr	\image\item\equip\armor\fm_armor_newyear.spr	21				1	10000			1	0	equip		37	disguise_part_base	37	37	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại trang] Y Sơn Quan Lan Khải	Khoác-Nam	1	1	25	56	1	\image\item\equip\armor\armor52m_s.spr	\image\item\equip\armor\armor52m.spr	21				1	10000			1	0	equip	52		disguise_part_base	52	52	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại trang] Phong Lộ Quy Mộng Sam	Khoác-Nữ	1	1	25	57	1	\image\item\equip\armor\armor054f_s.spr	\image\item\equip\armor\armor054f.spr	21				1	10000			1	0	equip		52	disguise_part_base	52	52	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại trang] Tử Tô Kim Bộ	Khoác-Nam	1	1	25	58	1	\image\item\equip\armor\armor058m_s.spr	\image\item\equip\armor\armor058m.spr	20				1	10000			1	0	equip	58		disguise_part_base	58	58	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại trang] Nhã Thanh Song Điệp	Khoác-Nữ	1	1	25	59	1	\image\item\equip\armor\armor058f_s.spr	\image\item\equip\armor\armor058f.spr	21				1	10000			1	0	equip		58	disguise_part_base	58	58	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại trang] Liệt Thạch Đoàn Kim	Khoác-Nam	1	1	25	60	1	\image\item\equip\armor\armor059m_s.spr	\image\item\equip\armor\armor059m.spr	20				1	10000			1	0	equip	59		disguise_part_base	59	59	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại trang] Thiều Hoa Bất Phụ	Khoác-Nữ	1	1	25	61	1	\image\item\equip\armor\armor059f_s.spr	\image\item\equip\armor\armor059f.spr	21				1	10000			1	0	equip		59	disguise_part_base	59	59	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại trang] Thần Long Đằng Vân	Khoác-Nam	1	1	25	62	1	\image\item\equip\armor\armor060m_s.spr	\image\item\equip\armor\armor060m.spr	20				1	10000			1	0	equip	60		disguise_part_base	60	60	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại trang] Kim Phượng Hồng Hà	Khoác-Nữ	1	1	25	63	1	\image\item\equip\armor\armor060f_s.spr	\image\item\equip\armor\armor060f.spr	21				1	10000			1	0	equip		60	disguise_part_base	60	60	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang]Hỏa Lân nam	Khoác-Nam	1	1	25	64	1	\image\item\equip\armor\ma042a1.spr	\image\item\equip\armor\ma042a0.spr	20				1	10000			1	0	equip	51		disguise_part_base	51	51	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang]Hỏa Lân nữ	Khoác-Nữ	1	1	25	65	1	\image\item\equip\armor\fm040a1.spr	\image\item\equip\armor\fm040a0.spr	21				1	10000			1	0	equip		51	disguise_part_base	51	51	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại trang] Định Quốc	Khoác-Nam	1	1	25	66	1	\image\item\equip\armor\wz_ma_1_yi_s.spr	\image\item\equip\armor\wz_ma_1_yi.spr	20				1	10000			4	1	equip	31		disguise_part_base	31	31	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại trang] Quốc Sắc	Khoác-Nữ	1	1	25	67	1	\image\item\equip\armor\wz_fm_1_yi_s.spr	\image\item\equip\armor\wz_fm_1_yi.spr	21				1	10000			4	1	equip		31	disguise_part_base	31	31	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại trang] Kiếm tâm hà ảnh sam	Khoác-Nam	1	1	25	68	1	\image\item\equip\armor\armor057m_s.spr	\image\item\equip\armor\armor057m.spr	20				1	10000			1	0	equip	57		disguise_part_base	57	57	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại trang] Bạch ngọc bích hà la	Khoác-Nữ	1	1	25	69	1	\image\item\equip\armor\armor057f_s.spr	\image\item\equip\armor\armor057f.spr	21				1	10000			1	0	equip		57	disguise_part_base	57	57	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại trang] Mộ Quang Lưu Hà	Khoác-Nữ	1	1	25	70	1	\image\item\equip\armor\wz_fm_3_yi_s.spr	\image\item\equip\armor\wz_fm_3_yi.spr	21				1	10000			1	0	equip		33	disguise_part_base	33	33	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại trang] Đào Tịch Tuyết Y	Khoác-Nữ	1	1	25	71	1	\image\item\equip\armor\fm_armor_xmas_s.spr	\image\item\equip\armor\fm_armor_xmas.spr	21				1	10000			1	0	equip		44	disguise_part_base	44	44	1	1	1	1																																																																5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Càn Khôn Thất Tinh Khải	Khoác-Nam	1	1	25	100	2	\image\item\equip\armor\wz_ma_1_yi_s.spr	\image\item\equip\armor\wz_ma_1_yi.spr	21				1	100000			1	0	upgradeequip	31																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Tử Kim Thánh Nữ Y	Khoác-Nữ	1	1	25	101	2	\image\item\equip\armor\wz_fm_1_yi_s.spr	\image\item\equip\armor\wz_fm_1_yi.spr	21				1	100000			1	0	upgradeequip		31																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Như Ý Thanh Hồng Giáp	Khoác-Nam	1	1	25	102	2	\image\item\equip\armor\wz_ma_2_yi_s.spr	\image\item\equip\armor\wz_ma_2_yi.spr	21				1	100000			1	0	upgradeequip	32																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Lưu Tiên Thủy Văn Sam	Khoác-Nữ	1	1	25	103	2	\image\item\equip\armor\wz_fm_2_yi_s.spr	\image\item\equip\armor\wz_fm_2_yi.spr	21				1	100000			1	0	upgradeequip		32																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Sí Nhiễm Hoa Y	Khoác-Nam	1	1	25	104	2	\image\item\equip\armor\ma_armor_xmas_s.spr	\image\item\equip\armor\ma_armor_xmas.spr	20				1	100000			1	0	upgradeequip	44																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Long Dĩnh Sam	Khoác-Nữ	1	1	25	105	2	\image\item\equip\armor\fm_armor_newyear_s.spr	\image\item\equip\armor\fm_armor_newyear.spr	21				1	100000			1	0	upgradeequip		37																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Y Sơn Quan Lan Khải	Khoác-Nam	1	1	25	106	2	\image\item\equip\armor\armor52m_s.spr	\image\item\equip\armor\armor52m.spr	21				1	100000			1	0	upgradeequip	52																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Phong Lộ Quy Mộng Sam	Khoác-Nữ	1	1	25	107	2	\image\item\equip\armor\armor054f_s.spr	\image\item\equip\armor\armor054f.spr	21				1	100000			1	0	upgradeequip		52																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Tử Tô Kim Bộ	Khoác-Nam	1	1	25	108	2	\image\item\equip\armor\armor058m_s.spr	\image\item\equip\armor\armor058m.spr	20				1	100000			1	0	upgradeequip	58																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Nhã Thanh Song Điệp	Khoác-Nữ	1	1	25	109	2	\image\item\equip\armor\armor058f_s.spr	\image\item\equip\armor\armor058f.spr	21				1	100000			1	0	upgradeequip		58																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Liệt Thạch Đoàn Kim	Khoác-Nam	1	1	25	110	2	\image\item\equip\armor\armor059m_s.spr	\image\item\equip\armor\armor059m.spr	20				1	100000			1	0	upgradeequip	59																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Thiều Hoa Bất Phụ	Khoác-Nữ	1	1	25	111	2	\image\item\equip\armor\armor059f_s.spr	\image\item\equip\armor\armor059f.spr	21				1	100000			1	0	upgradeequip		59																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Thần Long Đằng Vân	Khoác-Nam	1	1	25	112	2	\image\item\equip\armor\armor060m_s.spr	\image\item\equip\armor\armor060m.spr	20				1	100000			1	0	upgradeequip	60																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Kim Phượng Hồng Hà	Khoác-Nữ	1	1	25	113	2	\image\item\equip\armor\armor060f_s.spr	\image\item\equip\armor\armor060f.spr	21				1	100000			1	0	upgradeequip		60																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Định Quốc	Khoác-Nam	1	1	25	114	2	\image\item\equip\armor\wz_ma_1_yi_s.spr	\image\item\equip\armor\wz_ma_1_yi.spr	20				1	100000			4	1	upgradeequip	31																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Quốc Sắc	Khoác-Nữ	1	1	25	115	2	\image\item\equip\armor\wz_fm_1_yi_s.spr	\image\item\equip\armor\wz_fm_1_yi.spr	21				1	100000			4	1	upgradeequip		31																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Kiếm tâm hà ảnh sam	Khoác-Nam	1	1	25	116	2	\image\item\equip\armor\armor057m_s.spr	\image\item\equip\armor\armor057m.spr	20				1	100000			1	0	upgradeequip	57																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Bạch ngọc bích hà la	Khoác-Nữ	1	1	25	117	2	\image\item\equip\armor\armor057f_s.spr	\image\item\equip\armor\armor057f.spr	21				1	100000			1	0	upgradeequip		57																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Mộ Quang Lưu Hà	Khoác-Nữ	1	1	25	118	2	\image\item\equip\armor\wz_fm_3_yi_s.spr	\image\item\equip\armor\wz_fm_3_yi.spr	21				1	100000			1	0	upgradeequip		33																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Đào Tịch Tuyết Y	Khoác-Nữ	1	1	25	119	2	\image\item\equip\armor\fm_armor_xmas_s.spr	\image\item\equip\armor\fm_armor_xmas.spr	21				1	100000			1	0	upgradeequip		44																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] U Long Ngự Vân Bào	Khoác-Nam	1	1	25	120	2	\image\item\equip\armor\armor46m_s.spr	\image\item\equip\armor\armor46m.spr	21				1	100000			1	0	upgradeequip	46																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Phượng Hi Hoàng Bào	Khoác-Nữ	1	1	25	121	2	\image\item\equip\armor\armor46f_s.spr	\image\item\equip\armor\armor46f.spr	21				1	100000			1	0	upgradeequip		46																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Thanh Ngự Vĩ Bào	Khoác-Nam	1	1	25	122	2	\image\item\equip\armor\armor48m_s.spr	\image\item\equip\armor\armor48m.spr	21				1	100000			1	0	upgradeequip	48																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Tuyết Vũ Lam Bào	Khoác-Nữ	1	1	25	123	2	\image\item\equip\armor\armor48f_s.spr	\image\item\equip\armor\armor48f.spr	21				1	100000			1	0	upgradeequip		48																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Quân Lâm Thiên Hạ	Khoác-Nam	1	1	25	124	2	\image\item\equip\armor\armor50f_s.spr	\image\item\equip\armor\armor50f.spr	21				1	100000			1	0	upgradeequip	50																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Phượng Vũ Cửu Thiên	Khoác-Nữ	1	1	25	125	2	\image\item\equip\armor\armor50m_s.spr	\image\item\equip\armor\armor50m.spr	21				1	100000			1	0	upgradeequip		50																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Thanh Sương Dạ Nguyệt Y	Khoác-Nam	1	1	25	126	2	\image\item\equip\armor\armor47m_s.spr	\image\item\equip\armor\armor47m.spr	21				1	100000			1	0	upgradeequip	47																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Tinh Sa Lãng Sa Y	Khoác-Nữ	1	1	25	127	2	\image\item\equip\armor\armor47f_s.spr	\image\item\equip\armor\armor47f.spr	21				1	100000			1	0	upgradeequip		47																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Kiếm Tâm Hà Ảnh Sam 	Khoác-Nam	1	1	25	128	2	\image\item\equip\armor\armor057m_s.spr	\image\item\equip\armor\armor057m.spr	21				1	100000			1	0	upgradeequip	57																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Bạch Ngọc Bích Hà La	Khoác-Nữ	1	1	25	129	2	\image\item\equip\armor\armor057f_s.spr	\image\item\equip\armor\armor057f.spr	21				1	100000			1	0	upgradeequip		57																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Lam Hải Kim Lữ	Khoác-Nam	1	1	25	130	2	\image\item\equip\armor\armor49m_s.spr	\image\item\equip\armor\armor49m.spr	21				1	100000			1	0	upgradeequip	49																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Lam Điệp Y	Khoác-Nữ	1	1	25	131	2	\image\item\equip\armor\armor49f_s.spr	\image\item\equip\armor\armor49f.spr	21				1	100000			1	0	upgradeequip		49																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Yến Vân Phi Sa 	Khoác-Nam	1	1	25	132	2	\image\item\equip\armor\helm067_a1.spr	\image\item\equip\armor\helm067_a0.spr	21				1	100000			1	0	upgradeequip	63																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Yến Vân Lữ Sa	Khoác-Nữ	1	1	25	133	2	\image\item\equip\armor\armor067_a1.spr	\image\item\equip\armor\armor067_a0.spr	21				1	100000			1	0	upgradeequip		63																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Ly Mực Bàn Cánh Giáp	Khoác-Nam	1	1	25	134	2	\image\item\equip\armor\helm088_a1.spr	\image\item\equip\armor\helm088_a0.spr	21				1	100000			1	0	upgradeequip	61																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Ly Mực Bàn Cánh Khải	Khoác-Nữ	1	1	25	135	2	\image\item\equip\armor\armor088_a1.spr	\image\item\equip\armor\armor088_a0.spr	21				1	100000			1	0	upgradeequip		61																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Nghịch Thế Trọng Thiên Khải	Khoác-Nam	1	1	25	136	2	\image\item\equip\armor\ma_ds_armor_D_s.spr	\image\item\equip\armor\ma_ds_armor_D.spr	21				1	100000			1	0	upgradeequip	35																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Cực Nghiệp Trọng Thiên Khải	Khoác-Nữ	1	1	25	137	2	\image\item\equip\armor\fm_ds_armor_D_s.spr	\image\item\equip\armor\fm_ds_armor_D.spr	21				1	100000			1	0	upgradeequip		34																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 2] Tử Sắc Vân Bào	Khoác-Nam	1	1	25	138	2	\image\item\equip\armor\2020vip1021a1.spr	\image\item\equip\armor\2020vip1021a0.spr	21				1	100000			1	0	upgradeequip	77																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 2] Tử Sắc Vân Bào 	Khoác-Nữ	1	1	25	139	2	\image\item\equip\armor\2020vip1041a1.spr	\image\item\equip\armor\2020vip1041a0.spr	21				1	100000			1	0	upgradeequip		77																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 2] Hồng Sắc Vân Bào	Khoác-Nam	1	1	25	140	2	\image\item\equip\armor\2020vip302a1.spr	\image\item\equip\armor\2020vip302a0.spr	21				1	100000			1	0	upgradeequip	78																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 2] Hồng Sắc Vân Bào 	Khoác-Nữ	1	1	25	141	2	\image\item\equip\armor\2020vip304a1.spr	\image\item\equip\armor\2020vip304a0.spr	21				1	100000			1	0	upgradeequip		78																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 2] Hoàng Sắc Vân Bào	Khoác-Nam	1	1	25	142	2	\image\item\equip\armor\2020vip2032a1.spr	\image\item\equip\armor\2020vip2032a0.spr	21				1	100000			1	0	upgradeequip	79																																																																								5	1	8	0																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 2] Hoàng Sắc Vân Bào 	Khoác-Nữ	1	1	25	143	2	\image\item\equip\armor\2020vip2042a1.spr	\image\item\equip\armor\2020vip2042a0.spr	21				1	100000			1	0	upgradeequip		79																																																																							5	1	8	1																																																									
[Hủy-cần đổi]-[Ngoại Trang cấp 2] Thanh Sắc Vân Bào	Khoác-Nam	1	1	25	144	2	\image\item\equip\armor\2021VIPnan2a1.spr	\image\item\equip\armor\2021VIPnan2a0.spr	21				1	100000			1	0	upgradeequip	83																																																																								5	1	8	0																																																									
