Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	ZhenId	UnLockInterval	FightPower																			
Trận pháp-Trung: Chu Tước Trận	Trận pháp đồ: Chu Tước Trận	1	1	15	11	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									11		1																			
Trận pháp-Trung: Ngũ Hành Trận	Trận pháp đồ: Ngũ Hành trận	1	1	15	12	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Qui tắc kích hoạt: Mỗi thành viên có ngũ hành khác nhau bên cạnh đội trưởng, sẽ tăng 1 cấp kích hoạt trận pháp		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									1		1																			
Trận pháp-Cao: Ngũ Hành Trận	Trận pháp-Sơ (phiên bản cao cấp)	1	1	15	1	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Qui tắc kích hoạt: Mỗi thành viên có ngũ hành khác nhau bên cạnh đội trưởng, sẽ tăng 1 cấp kích hoạt trận pháp		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									1		2																			
Trận pháp-Cao: Bát Quái Trận-Li	Trận pháp-Trung (phiên bản cao cấp)	1	1	15	2	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									2		2																			
Trận pháp-Cao: Bát Quái Trận-Đoài	Trận pháp-Trung (phiên bản cao cấp)	1	1	15	3	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									3		2																			
Trận pháp-Cao: Bát Quái Trận-Cấn	Trận pháp-Trung (phiên bản cao cấp)	1	1	15	4	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									4		2																			
Trận pháp-Cao: Bát Quái Trận-Khảm	Trận pháp-Trung (phiên bản cao cấp)	1	1	15	5	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									5		2																			
Trận pháp-Cao: Bát Quái Trận-Tốn	Trận pháp-Trung (phiên bản cao cấp)	1	1	15	6	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									6		2																			
Trận pháp-Cao: Bát Quái Trận-Càn	Trận pháp-Trung (phiên bản cao cấp)	1	1	15	7	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									7		2																			
Trận pháp-Cao: Thanh Long Trận	Trận pháp-Trung (phiên bản cao cấp)	1	1	15	8	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									8		2																			
Trận pháp-Cao: Huyễn Vũ Trận	Trận pháp-Trung (phiên bản cao cấp)	1	1	15	9	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									9		2																			
Trận pháp-Cao: Bạch Hổ Trận	Trận pháp-Trung (phiên bản cao cấp)	1	1	15	10	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									10		2																			
Trận pháp-Cao: Chu Tước Trận	Trận pháp-Trung (phiên bản cao cấp)	1	1	15	11	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									11		2																			
Trận pháp-Cao: Nguyệt Mê Tân Độ Trận	Trận pháp cao cấp	1	1	15	12	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Trong tổ đội, nhân vật có trang bị trận pháp sẽ nhận được đầy đủ thuộc tính của trận pháp; nhân vật chưa trang bị trận pháp sẽ nhận được cấp hiệu quả trận pháp của đội trưởng (dựa theo quy tắc kích hoạt).<enter>Quy tắc kích hoạt: Trong nhóm tăng thêm 1 thành viên từ cấp 100 trở lên, trận pháp được kích hoạt thêm 1 cấp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									12		2																			
Trận pháp-Cao: Vụ Thất Lâu Đài Trận	Trận pháp cao cấp	1	1	15	13	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Trong tổ đội, nhân vật có trang bị trận pháp sẽ nhận được đầy đủ thuộc tính của trận pháp; nhân vật chưa trang bị trận pháp sẽ nhận được cấp hiệu quả trận pháp của đội trưởng (dựa theo quy tắc kích hoạt).<enter>Quy tắc kích hoạt: Trong nhóm tăng thêm 1 thành viên từ cấp 100 trở lên, trận pháp được kích hoạt thêm 1 cấp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									13		2																			
Trận pháp-Cao: Tham Lang Trận-Dương	Trận pháp cao cấp	1	1	15	14	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Trong tổ đội, nhân vật có trang bị trận pháp sẽ nhận được đầy đủ thuộc tính của trận pháp; nhân vật chưa trang bị trận pháp sẽ nhận được cấp hiệu quả trận pháp của đội trưởng (dựa theo quy tắc kích hoạt).<enter>Quy tắc kích hoạt: Trong nhóm tăng thêm 1 thành viên từ cấp 100 trở lên, trận pháp được kích hoạt thêm 1 cấp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									14		2																			
Trận pháp-Cao: Tham Lang Trận-Âm	Trận pháp cao cấp	1	1	15	15	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Trong tổ đội, nhân vật có trang bị trận pháp sẽ nhận được đầy đủ thuộc tính của trận pháp; nhân vật chưa trang bị trận pháp sẽ nhận được cấp hiệu quả trận pháp của đội trưởng (dựa theo quy tắc kích hoạt).<enter>Quy tắc kích hoạt: Trong nhóm tăng thêm 1 thành viên từ cấp 100 trở lên, trận pháp được kích hoạt thêm 1 cấp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									15		2																			
Trận pháp-Cao: Bát Quái Trận-Chấn	Trận pháp cao cấp	1	1	15	16	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Trong tổ đội, nhân vật có trang bị trận pháp sẽ nhận được đầy đủ thuộc tính của trận pháp; nhân vật chưa trang bị trận pháp sẽ nhận được cấp hiệu quả trận pháp của đội trưởng (dựa theo quy tắc kích hoạt).<enter>Quy tắc kích hoạt: Trong nhóm tăng thêm 1 thành viên từ cấp 100 trở lên, trận pháp được kích hoạt thêm 1 cấp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									16		2																			
Trận pháp-Cao: Bát Quái Trận-Khôn	Trận pháp cao cấp	1	1	15	17	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Trong tổ đội, nhân vật có trang bị trận pháp sẽ nhận được đầy đủ thuộc tính của trận pháp; nhân vật chưa trang bị trận pháp sẽ nhận được cấp hiệu quả trận pháp của đội trưởng (dựa theo quy tắc kích hoạt).<enter>Quy tắc kích hoạt: Trong nhóm tăng thêm 1 thành viên từ cấp 100 trở lên, trận pháp được kích hoạt thêm 1 cấp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									17		2																			
Trận pháp-Cao: Phá Quân Trận	Trận pháp cao cấp	1	1	15	18	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Trong tổ đội, nhân vật có trang bị trận pháp sẽ nhận được đầy đủ thuộc tính của trận pháp; nhân vật chưa trang bị trận pháp sẽ nhận được cấp hiệu quả trận pháp của đội trưởng (dựa theo quy tắc kích hoạt).<enter>Quy tắc kích hoạt: Trong nhóm tăng thêm 1 thành viên từ cấp 100 trở lên, trận pháp được kích hoạt thêm 1 cấp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									18		2																			
Trận pháp-Cao: Thất Sát Trận	Trận pháp cao cấp	1	1	15	19	3	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	Trong tổ đội, nhân vật có trang bị trận pháp sẽ nhận được đầy đủ thuộc tính của trận pháp; nhân vật chưa trang bị trận pháp sẽ nhận được cấp hiệu quả trận pháp của đội trưởng (dựa theo quy tắc kích hoạt).<enter>Quy tắc kích hoạt: Trong nhóm tăng thêm 1 thành viên từ cấp 100 trở lên, trận pháp được kích hoạt thêm 1 cấp.		0		40200000			1		zhongjizhenfa																																																																											5	100																																																									19		2																			
[Pháp Bảo Trấn Phái] Thiếu Lâm + 1	Bí Kíp Pháp Bảo Trấn Phái Cấp 200	1	1	15	101	7	\image\ThienTruongKiem\phapbao\lachonchuong.spr	\image\ThienTruongKiem\phapbao\lachonchuong.spr	32	Pháp Bảo Môn Phái, nhận Kỹ Năng Trấn Phái Tương Ứng		0		500000000			1	1	mask			allskill_v	1	1			1981	1981	allskill_v	1	1			1958	1958	damage_all_resist	50	50					lifemax_v	3000	3000												defencedeadlystrikedamagetrim	1	1																			fastwalkrun_p	5	5	-1	-1	0	0	allseriesstateresisttime	100	100							5	100	6	1																																																																												
[Pháp Bảo Trấn Phái] Thiếu Lâm + 2	Bí Kíp Pháp Bảo Trấn Phái Cấp 200	1	1	15	102	7	\image\ThienTruongKiem\phapbao\lachonchuong.spr	\image\ThienTruongKiem\phapbao\lachonchuong.spr	32	Pháp Bảo Môn Phái, nhận Kỹ Năng Trấn Phái Tương Ứng		0		510000000			1	1	mask			allskill_v	2	2			1981	1981	allskill_v	2	2			1958	1958	damage_all_resist	55	55					lifemax_v	3200	3200												defencedeadlystrikedamagetrim	2	2																			fastwalkrun_p	6	6	-1	-1	0	0	allseriesstateresisttime	105	105							5	100	6	1																																																																												
