MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	Ghi chú
187	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Cửu Khúc Chiến (Dương Châu 1)
188	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Cửu Khúc Chiến (Phượng Tường 1)
189	1	2	3	3	5	6	7	4	7	7	7	7	7	7	14	14	Cửu Khúc Chiến (Tương Dương 1)
190	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Ngũ Trượng Nguyên Chiến (Dương Châu 1)
191	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Ngũ Trượng Nguyên Chiến (Phượng Tường 1)
192	1	2	3	3	5	6	7	4	7	7	7	7	7	7	14	14	Ngũ Trượng Nguyên Chiến (Tương Dương 1)
193	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Bàn Long Cốc Chiến (Dương Châu 1)
194	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Bàn Long Cốc Chiến (Phượng Tường 1)
195	1	2	3	3	5	6	7	4	7	7	7	7	7	7	14	14	Bàn Long Cốc Chiến (Tương Dương 1)
196	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Kiến Tính Phong_Trong
197	1	2	3	3	5	5	5	1	5	5	5	5	5	5	12	5	Cửu Lão Phong_Trong
198	1	2	2	4	5	5	7	4	7	7	7	7	7	7	14	7	Thanh Loa Đảo_Trong
199	1	1	1	2	3	3	3	3	3	3	3	3	3	3	10	3	Đông Long Hổ Huyễn Cảnh_Trong
200	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Ngoài Yến Tử Ổ_Trong
201	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	6	Đông Bờ Hồ Trúc Lâm_Trong
202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Tây Tháp Lâm_Trong
203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Hoàng Lăng Kim Quốc 2_Trong
204	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	6	Trong Bách Hoa Trận_Trong
205	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Tây Rừng Nguyên Sinh_Trong
206	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Đại Tán Quan_Trong
207	1	1	1	2	3	3	7	4	7	7	7	7	7	7	14	7	Hán Thủy Cổ Độ_Trong
208	1	2	3	3	5	5	5	1	5	5	5	5	5	5	12	5	Cán Hoa Khê_Trong
209	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	6	Nhĩ Hải Ma Nham_Trong
210	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Cư Diên Trạch_Trong
211	1	1	1	2	3	3	7	4	7	7	7	7	7	7	14	7	Phục Ngưu Sơn_Trong
212	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	6	Điểm Thương Sơn_Trong
213	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Bành Lãi Cổ Trạch_Trong
214	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Mê Cung Sa Mạc_Trong
215	1	1	1	2	3	3	7	4	7	7	7	7	7	7	14	7	Kê Quán Động_Trong
216	1	2	3	3	5	5	5	1	5	5	5	5	5	5	12	5	Kiếm Các Thục Đạo_Trong
217	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Cửu Nghi Khê_Trong
218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Long Môn Thạch Quật_Trong
219	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Hoàng Lăng Tây Hạ_Trong
220	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	6	Thiên Long Tự_Trong
221	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Bang Nguyên Bí Động_Trong
222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Đại Lao Biện Kinh
223	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Đại Lao Lâm An
224	1	2	2	4	2	4	7	1	7	7	7	7	7	7	14	14	Minh Giáo
225	1	1	1	2	3	3	6	2	6	6	6	6	6	6	13	13	Đại điện Bạch Hổ Đường (sơ 1)
226	1	1	1	2	3	3	6	2	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Đông (sơ 1)
227	1	1	1	2	3	3	6	2	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Nam (sơ 1)
228	1	1	1	2	3	3	6	2	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Tây (sơ 1)
229	1	1	1	2	3	3	6	2	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Bắc (sơ 1)
230	1	1	1	2	3	3	6	2	6	6	6	6	6	6	13	13	Bạch Hổ Đường 2_Âm (sơ 1)
231	1	1	1	2	3	3	6	2	6	6	6	6	6	6	13	13	Bạch Hổ Đường 2_Dương (sơ 1)
232	1	1	1	2	3	3	6	2	6	6	6	6	6	6	13	13	Bạch Hổ Đường 3 (sơ 1)
233	1	2	3	3	5	2	5	1	5	5	5	5	5	5	12	12	Đại điện Bạch Hổ Đường (cao)
234	1	2	3	3	5	2	5	1	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Đông (cao)
235	1	2	3	3	5	2	5	1	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Nam (cao)
236	1	2	3	3	5	2	5	1	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Tây (cao)
237	1	2	3	3	5	2	5	1	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Bắc (cao)
238	1	2	3	3	5	2	5	1	5	5	5	5	5	5	12	12	Bạch Hổ Đường 2_Âm (cao)
239	1	2	3	3	5	2	5	1	5	5	5	5	5	5	12	12	Bạch Hổ Đường 2_Dương (cao)
240	1	2	3	3	5	2	5	1	5	5	5	5	5	5	12	12	Bạch Hổ Đường 3 (cao)
241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	9	Đấu trường môn phái (Thiếu Lâm)
242	1	2	2	4	5	5	7	4	7	7	7	7	7	7	13	13	Đấu trường môn phái (Thiên Vương)
243	1	2	3	3	3	6	6	2	6	6	6	6	6	6	12	12	Đấu trường môn phái (Đường Môn)
244	1	2	2	4	2	4	3	3	3	3	3	3	3	3	13	13	Đấu trường môn phái (Ngũ Độc)
245	1	2	3	3	5	5	5	1	5	5	5	5	5	5	11	11	Đấu trường môn phái (Nga My)
246	1	2	3	3	3	6	6	2	6	6	6	6	6	6	12	12	Đấu trường môn phái (Thúy Yên)
247	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	11	Đấu trường môn phái (Cái Bang)
248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	9	Đấu trường môn phái (Thiên Nhẫn)
249	1	1	1	2	3	3	3	3	3	3	3	3	3	3	10	10	Đấu trường môn phái (Võ Đang)
250	1	1	1	1	2	2	2	2	2	2	2	2	2	2	10	10	Đấu trường môn phái (Côn Lôn)
251	1	2	2	4	2	4	7	4	7	7	7	7	7	7	14	14	Đấu trường môn phái (Minh Giáo)
252	1	2	3	3	3	6	2	2	2	2	2	2	2	2	13	13	Đấu trường môn phái (Đoàn Thị)
255	1	1	2	2	4	1	4	1	4	4	4	4	4	4	11	11	Tẩy Tủy Đảo
256	1	1	2	2	4	1	4	1	4	4	4	4	4	4	11	11	Tẩy Tủy Đảo Sơn Động
257	1	1	1	1	1	2	1	1	1	1	1	1	1	1	8	8	Báo Danh Chiến Trường_Mông Cổ (Dương Châu 2)
258	1	2	2	4	2	5	3	3	3	3	3	3	3	3	10	10	Báo Danh Chiến Trường_Mông Cổ (Phượng Tường 2)
259	1	2	3	3	5	3	6	2	6	6	6	6	6	6	13	13	Báo Danh Chiến Trường_Mông Cổ (Tương Dương 2)
260	1	1	1	1	1	2	1	1	1	1	1	1	1	1	8	8	Báo Danh Chiến Trường_Tây Hạ (Dương Châu 2)
261	1	2	2	4	2	5	3	3	3	3	3	3	3	3	10	10	Báo Danh Chiến Trường_Tây Hạ (Phượng Tường 2)
262	1	2	3	3	5	3	6	2	6	6	6	6	6	6	13	13	Báo Danh Chiến Trường_Tây Hạ (Tương Dương 2)
263	1	1	1	1	1	2	1	1	1	1	1	1	1	1	8	8	Cửu Khúc Chiến (Dương Châu 2)
264	1	2	2	4	2	5	3	3	3	3	3	3	3	3	10	10	Cửu Khúc Chiến (Phượng Tường 2)
265	1	2	3	3	5	3	6	2	6	6	6	6	6	6	13	13	Cửu Khúc Chiến (Tương Dương 2)
266	1	1	1	1	1	2	1	1	1	1	1	1	1	1	8	8	Ngũ Trượng Nguyên Chiến (Dương Châu 2)
267	1	2	2	4	2	5	3	3	3	3	3	3	3	3	10	10	Ngũ Trượng Nguyên Chiến (Phượng Tường 2)
268	1	2	3	3	5	3	6	2	6	6	6	6	6	6	13	13	Ngũ Trượng Nguyên Chiến (Tương Dương 2)
269	1	1	1	1	1	2	1	1	1	1	1	1	1	1	8	8	Bàn Long Cốc Chiến (Dương Châu 2)
270	1	2	2	4	2	5	3	3	3	3	3	3	3	3	10	10	Bàn Long Cốc Chiến (Phượng Tường 2)
271	1	2	3	3	5	3	6	2	6	6	6	6	6	6	13	13	Bàn Long Cốc Chiến (Tương Dương 2)
274	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Đại điện Bạch Hổ Đường (sơ 2)
275	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Bạch Hổ Đường 1_Đông (sơ 2)
276	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Bạch Hổ Đường 1_Nam (sơ 2)
277	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Bạch Hổ Đường 1_Tây (sơ 2)
278	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Bạch Hổ Đường 1_Bắc (sơ 2)
279	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Bạch Hổ Đường 2_Âm (sơ 2)
280	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Bạch Hổ Đường 2_Dương (sơ 2)
281	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Bạch Hổ Đường 3 (sơ 2)
282	1	2	3	3	5	5	5	1	5	5	5	5	5	5	12	12	Báo Danh Chiến Trường_Mông Cổ (Dương Châu 3)
