Name	Kind	QualityPrefix	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	MagicName1	MagicLevel1	MagicName2	MagicLevel2	MagicName3	MagicLevel3	MagicName4	MagicLevel4	MagicName5	MagicLevel5	MagicName6	MagicLevel6	Str1Times	StrMA1Name	StrMA1PA1Min	StrMA1PA1Max	StrMA1PA2Min	StrMA1PA2Max	StrMA1PA3Min	StrMA1PA3Max	Str2Times	StrMA2Name	StrMA2PA1Min	StrMA2PA1Max	StrMA2PA2Min	StrMA2PA2Max	StrMA2PA3Min	StrMA2PA3Max	UnLockInterval	FightPower
Yển Nguyệt Đao	Trang bị xanh_Yển Nguyệt Đao (Đao Thiếu)	3	13	2	1	11	10	\image\item\equip\meleeweapon\n_dao_210_s.spr	\image\item\equip\meleeweapon\n_dao_210.spr	10			1	200000	1	300000		2	0	equip	11	11	weapondamagemin_v	190	190	-1	-1	0	0	weapondamagemax_v	200	200	-1	-1	0	0	weaponmagicmin_v	190	190	-1	-1	0	0	weaponmagicmax_v	200	200	-1	-1	0	0																																											5	100											4	staminareplenish_v	65	65					8	deadlystrikeenhance_r	65	65					10	weaponbasedamagetrim	350	350					12	deadlystrikedamageenhance_p	65	65					14	skilldamageptrim	20	20					16	allskill_v	1	1	1	1			addphysicsdamage_p	6	attackspeed_v	6	attackratingenhance_v	5	addphysicsdamage_v	5																						
Trọng Mộc Côn	Trang bị xanh_Trọng Mộc Côn (Côn Thiếu)	3	14	2	1	12	1	\image\item\equip\meleeweapon\n_gun_301_s.spr	\image\item\equip\meleeweapon\n_gun_301.spr	11			1	300	1			2	0	equip	13	13	weapondamagemin_v	5	5	-1	-1	0	0	weapondamagemax_v	10	10	-1	-1	0	0	weaponmagicmin_v	5	5	-1	-1	0	0	weaponmagicmax_v	10	10	-1	-1	0	0																																											5	10											4	staminareplenish_v	50	50																																													addphysicsdamage_p	1	attackspeed_v	1																										
Tề Mi Côn	Trang bị xanh_Tề Mi Côn (Côn Thiếu)	3	14	2	1	13	2	\image\item\equip\meleeweapon\n_gun_302_s.spr	\image\item\equip\meleeweapon\n_gun_302.spr	11			1	1500	1			2	0	equip	13	13	weapondamagemin_v	25	25	-1	-1	0	0	weapondamagemax_v	30	30	-1	-1	0	0	weaponmagicmin_v	25	25	-1	-1	0	0	weaponmagicmax_v	30	30	-1	-1	0	0																																											5	20											4	staminareplenish_v	50	50																																													addphysicsdamage_p	1	attackspeed_v	2	attackratingenhance_v	1																								
Tứ Bình Côn	Trang bị xanh_Tứ Bình Côn (Côn Thiếu)	3	14	2	1	14	3	\image\item\equip\meleeweapon\n_gun_303_s.spr	\image\item\equip\meleeweapon\n_gun_303.spr	11			1	3000	1			2	0	equip	14	14	weapondamagemin_v	45	45	-1	-1	0	0	weapondamagemax_v	50	50	-1	-1	0	0	weaponmagicmin_v	45	45	-1	-1	0	0	weaponmagicmax_v	50	50	-1	-1	0	0																																											5	30											4	staminareplenish_v	50	50																																													addphysicsdamage_p	2	attackspeed_v	2	attackratingenhance_v	1																								
Bàn Hoa Côn	Trang bị xanh_Bàn Hoa Côn (Côn Thiếu)	3	14	2	1	15	4	\image\item\equip\meleeweapon\n_gun_304_s.spr	\image\item\equip\meleeweapon\n_gun_304.spr	11			1	10000	1			2	0	equip	14	14	weapondamagemin_v	65	65	-1	-1	0	0	weapondamagemax_v	70	70	-1	-1	0	0	weaponmagicmin_v	65	65	-1	-1	0	0	weaponmagicmax_v	70	70	-1	-1	0	0																																											5	40											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50																																					addphysicsdamage_p	2	attackspeed_v	2	attackratingenhance_v	2	addphysicsdamage_v	1																						
Phân Thủy Côn	Trang bị xanh_Phân Thủy Côn (Côn Thiếu)	3	14	2	1	16	5	\image\item\equip\meleeweapon\n_gun_305_s.spr	\image\item\equip\meleeweapon\n_gun_305.spr	11			1	20000	1			2	0	equip	15	15	weapondamagemin_v	85	85	-1	-1	0	0	weapondamagemax_v	90	90	-1	-1	0	0	weaponmagicmin_v	85	85	-1	-1	0	0	weaponmagicmax_v	90	90	-1	-1	0	0																																											5	50											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50																																					addphysicsdamage_p	3	attackspeed_v	3	attackratingenhance_v	2	addphysicsdamage_v	2																						
Hổ Vĩ Côn	Trang bị xanh_Hổ Vĩ Côn (Côn Thiếu)	3	14	2	1	17	6	\image\item\equip\meleeweapon\n_gun_306_s.spr	\image\item\equip\meleeweapon\n_gun_306.spr	11			1	30000	1			2	0	equip	15	15	weapondamagemin_v	100	100	-1	-1	0	0	weapondamagemax_v	110	110	-1	-1	0	0	weaponmagicmin_v	100	100	-1	-1	0	0	weaponmagicmax_v	110	110	-1	-1	0	0																																											5	60											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50																																					addphysicsdamage_p	4	attackspeed_v	3	attackratingenhance_v	3	addphysicsdamage_v	2																						
Tử Kim Lương	Trang bị xanh_Tử Kim Lương (Côn Thiếu)	3	14	2	1	18	7	\image\item\equip\meleeweapon\n_gun_307_s.spr	\image\item\equip\meleeweapon\n_gun_307.spr	11			1	50000	1	73200		2	0	equip	16	16	weapondamagemin_v	120	120	-1	-1	0	0	weapondamagemax_v	130	130	-1	-1	0	0	weaponmagicmin_v	120	120	-1	-1	0	0	weaponmagicmax_v	130	130	-1	-1	0	0																																											5	70											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50					10	weaponbasedamagetrim	300	300					12	deadlystrikedamageenhance_p	50	50																					addphysicsdamage_p	4	attackspeed_v	4	attackratingenhance_v	4	addphysicsdamage_v	3																						
Phổ Độ Côn	Trang bị xanh_Phổ Độ Côn (Côn Thiếu)	3	14	2	1	19	8	\image\item\equip\meleeweapon\n_gun_308_s.spr	\image\item\equip\meleeweapon\n_gun_308.spr	11			1	80000	1	120000		2	0	equip	16	16	weapondamagemin_v	140	140	-1	-1	0	0	weapondamagemax_v	150	150	-1	-1	0	0	weaponmagicmin_v	140	140	-1	-1	0	0	weaponmagicmax_v	150	150	-1	-1	0	0																																											5	80											4	staminareplenish_v	55	55					8	deadlystrikeenhance_r	55	55					10	weaponbasedamagetrim	310	310					12	deadlystrikedamageenhance_p	55	55																					addphysicsdamage_p	5	attackspeed_v	4	attackratingenhance_v	4	addphysicsdamage_v	4																						
Giác Hải Bổng	Trang bị xanh_Giác Hải Bổng (Côn Thiếu)	3	14	2	1	20	9	\image\item\equip\meleeweapon\n_gun_309_s.spr	\image\item\equip\meleeweapon\n_gun_309.spr	11			1	100000	1	162000		2	0	equip	17	17	weapondamagemin_v	160	160	-1	-1	0	0	weapondamagemax_v	170	170	-1	-1	0	0	weaponmagicmin_v	160	160	-1	-1	0	0	weaponmagicmax_v	170	170	-1	-1	0	0																																											5	90											4	staminareplenish_v	60	60					8	deadlystrikeenhance_r	60	60					10	weaponbasedamagetrim	320	320					12	deadlystrikedamageenhance_p	60	60					14	skilldamageptrim	15	15													addphysicsdamage_p	5	attackspeed_v	5	attackratingenhance_v	5	addphysicsdamage_v	4																						
Kim Cô Bổng	Trang bị xanh_Kim Cô Bổng (Côn Thiếu)	3	14	2	1	21	10	\image\item\equip\meleeweapon\n_gun_310_s.spr	\image\item\equip\meleeweapon\n_gun_310.spr	11			1	200000	1	300000		2	0	equip	17	17	weapondamagemin_v	190	190	-1	-1	0	0	weapondamagemax_v	200	200	-1	-1	0	0	weaponmagicmin_v	190	190	-1	-1	0	0	weaponmagicmax_v	200	200	-1	-1	0	0																																											5	100											4	staminareplenish_v	65	65					8	deadlystrikeenhance_r	65	65					10	weaponbasedamagetrim	350	350					12	deadlystrikedamageenhance_p	65	65					14	skilldamageptrim	20	20					16	allskill_v	1	1	1	1			addphysicsdamage_p	6	attackspeed_v	6	attackratingenhance_v	5	addphysicsdamage_v	5																						
Trường Thương	Trang bị xanh_Trường Thương (Thương Thiên) 	3	15	2	1	22	1	\image\item\equip\meleeweapon\n_qiang_401_s.spr	\image\item\equip\meleeweapon\n_qiang_401.spr	12			1	300	1			2	0	equip	19	19	weapondamagemin_v	5	5	-1	-1	0	0	weapondamagemax_v	10	10	-1	-1	0	0	weaponmagicmin_v	5	5	-1	-1	0	0	weaponmagicmax_v	10	10	-1	-1	0	0																																											5	10											4	staminareplenish_v	50	50																																													addphysicsdamage_p	1	manamax_v	1																										
Hồng Anh Thương	Trang bị xanh_Hồng Anh Thương (Thương Thiên)	3	15	2	1	23	2	\image\item\equip\meleeweapon\n_qiang_402_s.spr	\image\item\equip\meleeweapon\n_qiang_402.spr	12			1	1500	1			2	0	equip	19	19	weapondamagemin_v	25	25	-1	-1	0	0	weapondamagemax_v	30	30	-1	-1	0	0	weaponmagicmin_v	25	25	-1	-1	0	0	weaponmagicmax_v	30	30	-1	-1	0	0																																											5	20											4	staminareplenish_v	50	50																																													addphysicsdamage_p	1	manamax_v	2	attackratingenhance_v	1																								
Điểm Cang Thương	Trang bị xanh_Điểm Cang Thương (Thương Thiên)	3	15	2	1	24	3	\image\item\equip\meleeweapon\n_qiang_403_s.spr	\image\item\equip\meleeweapon\n_qiang_403.spr	12			1	3000	1			2	0	equip	20	20	weapondamagemin_v	45	45	-1	-1	0	0	weapondamagemax_v	50	50	-1	-1	0	0	weaponmagicmin_v	45	45	-1	-1	0	0	weaponmagicmax_v	50	50	-1	-1	0	0																																											5	30											4	staminareplenish_v	50	50																																													addphysicsdamage_p	2	manamax_v	2	attackratingenhance_v	1																								
Hoàn Tử Thương	Trang bị xanh_Hoàn Tử Thương (Thương Thiên)	3	15	2	1	25	4	\image\item\equip\meleeweapon\n_qiang_404_s.spr	\image\item\equip\meleeweapon\n_qiang_404.spr	12			1	10000	1			2	0	equip	20	20	weapondamagemin_v	65	65	-1	-1	0	0	weapondamagemax_v	70	70	-1	-1	0	0	weaponmagicmin_v	65	65	-1	-1	0	0	weaponmagicmax_v	70	70	-1	-1	0	0																																											5	40											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50																																					addphysicsdamage_p	2	manamax_v	2	attackratingenhance_v	2	addphysicsdamage_v	1																						
Kim Câu Thương	Trang bị xanh_Kim Câu Thương (Thương Thiên)	3	15	2	1	26	5	\image\item\equip\meleeweapon\n_qiang_405_s.spr	\image\item\equip\meleeweapon\n_qiang_405.spr	12			1	20000	1			2	0	equip	21	21	weapondamagemin_v	85	85	-1	-1	0	0	weapondamagemax_v	90	90	-1	-1	0	0	weaponmagicmin_v	85	85	-1	-1	0	0	weaponmagicmax_v	90	90	-1	-1	0	0																																											5	50											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50																																					addphysicsdamage_p	3	manamax_v	3	attackratingenhance_v	2	addphysicsdamage_v	2																						
Báo Vĩ Thương	Trang bị xanh_Báo Vĩ Thương (Thương Thiên)	3	15	2	1	27	6	\image\item\equip\meleeweapon\n_qiang_406_s.spr	\image\item\equip\meleeweapon\n_qiang_406.spr	12			1	30000	1			2	0	equip	21	21	weapondamagemin_v	100	100	-1	-1	0	0	weapondamagemax_v	110	110	-1	-1	0	0	weaponmagicmin_v	100	100	-1	-1	0	0	weaponmagicmax_v	110	110	-1	-1	0	0																																											5	60											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50																																					addphysicsdamage_p	4	manamax_v	3	attackratingenhance_v	3	addphysicsdamage_v	2																						
Hỏa Tiêm Thương	Trang bị xanh_Hỏa Tiêm Thương (Thương Thiên)	3	15	2	1	28	7	\image\item\equip\meleeweapon\n_qiang_407_s.spr	\image\item\equip\meleeweapon\n_qiang_407.spr	12			1	50000	1	73200		2	0	equip	22	22	weapondamagemin_v	120	120	-1	-1	0	0	weapondamagemax_v	130	130	-1	-1	0	0	weaponmagicmin_v	120	120	-1	-1	0	0	weaponmagicmax_v	130	130	-1	-1	0	0																																											5	70											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50					10	weaponbasedamagetrim	300	300					12	deadlystrikedamageenhance_p	50	50																					addphysicsdamage_p	4	manamax_v	4	attackratingenhance_v	4	addphysicsdamage_v	3																						
Thấu Cốt Thương	Trang bị xanh_Thấu Cốt Thương (Thương Thiên)	3	15	2	1	29	8	\image\item\equip\meleeweapon\n_qiang_408_s.spr	\image\item\equip\meleeweapon\n_qiang_408.spr	12			1	80000	1	120000		2	0	equip	22	22	weapondamagemin_v	140	140	-1	-1	0	0	weapondamagemax_v	150	150	-1	-1	0	0	weaponmagicmin_v	140	140	-1	-1	0	0	weaponmagicmax_v	150	150	-1	-1	0	0																																											5	80											4	staminareplenish_v	55	55					8	deadlystrikeenhance_r	55	55					10	weaponbasedamagetrim	310	310					12	deadlystrikedamageenhance_p	55	55																					addphysicsdamage_p	5	manamax_v	4	attackratingenhance_v	4	addphysicsdamage_v	4																						
Kinh Lôi Thương	Trang bị xanh_Kinh Lôi Thương (Thương Thiên)	3	15	2	1	30	9	\image\item\equip\meleeweapon\n_qiang_409_s.spr	\image\item\equip\meleeweapon\n_qiang_409.spr	12			1	100000	1	162000		2	0	equip	23	23	weapondamagemin_v	160	160	-1	-1	0	0	weapondamagemax_v	170	170	-1	-1	0	0	weaponmagicmin_v	160	160	-1	-1	0	0	weaponmagicmax_v	170	170	-1	-1	0	0																																											5	90											4	staminareplenish_v	60	60					8	deadlystrikeenhance_r	60	60					10	weaponbasedamagetrim	320	320					12	deadlystrikedamageenhance_p	60	60					14	skilldamageptrim	15	15													addphysicsdamage_p	5	manamax_v	5	attackratingenhance_v	5	addphysicsdamage_v	4																						
Phá Thiên Kích	Trang bị xanh_Phá Thiên Kích (Thương Thiên)	3	15	2	1	31	10	\image\item\equip\meleeweapon\n_qiang_410_s.spr	\image\item\equip\meleeweapon\n_qiang_410.spr	12			1	200000	1	300000		2	0	equip	23	23	weapondamagemin_v	190	190	-1	-1	0	0	weapondamagemax_v	200	200	-1	-1	0	0	weaponmagicmin_v	190	190	-1	-1	0	0	weaponmagicmax_v	200	200	-1	-1	0	0																																											5	100											4	staminareplenish_v	65	65					8	deadlystrikeenhance_r	65	65					10	weaponbasedamagetrim	350	350					12	deadlystrikedamageenhance_p	65	65					14	skilldamageptrim	20	20					16	allskill_v	1	1	1	1			addphysicsdamage_p	6	manamax_v	6	attackratingenhance_v	5	addphysicsdamage_v	5																						
Chiến Chùy	Trang bị xanh_Chiến Chùy (Chùy Thiên)	3	16	2	1	32	1	\image\item\equip\meleeweapon\n_chui_501_s.spr	\image\item\equip\meleeweapon\n_chui_501.spr	14			1	300	1			2	0	equip	25	25	weapondamagemin_v	5	5	-1	-1	0	0	weapondamagemax_v	10	10	-1	-1	0	0	weaponmagicmin_v	5	5	-1	-1	0	0	weaponmagicmax_v	10	10	-1	-1	0	0																																											5	10											4	staminareplenish_v	50	50																																													addphysicsdamage_p	1	manamax_v	1																										
