EqType	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
changgun08	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang07	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang08	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao01	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao02	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao03	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao04	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao05	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao06	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao07	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao08	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian09	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao09	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang09	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun09	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui09	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao09	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren01	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren02	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren03	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren04	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren05	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren06	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren07	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian10	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao10	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang10	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun10	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui10	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao10	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren10	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao01	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao02	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao03	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao04	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao05	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao06	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao07	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao08	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao09	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao10	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao11	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao12	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian11	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao11	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang11	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun11	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui11	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao11	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren11	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian12	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao12	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang12	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun12	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui12	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao12	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren12	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
reskiem	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian13	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao13	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang13	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun13	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui13	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao13	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren13	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao13	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian14	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao14	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang14	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun14	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui14	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changdao14	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
ren14	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
dadao14	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
