key	value
G_ITEM_14	Giày
G_ITEM_15	Tay
G_ITEM_16	Liên
G_ITEM_17	Nhẫn
G_ITEM_18	Ấn
G_ITEM_19	Bội
G_ITEM_20	Ngựa
G_ITEM_22	 [cấp %d]
G_ITEM_30	Nhặt vật phẩm
G_ItemList_0	Không thể dùng thổ địa phù ở đây!
G_ItemList_1	Rương chứa đồ đang khóa, không thể rút tiền!
G_ItemList_2	Đang khóa rương, không thể chỉnh trang bị!
G_ItemList_3	Đang khóa rương!
G_ItemList_4	Thiết lập mã thành công!
G_ItemList_5	Thiết lập mã thất bại: Mã đã thiết lập!
G_ItemList_6	Hủy mã thành công!
G_ItemList_7	Hủy mã thất bại: Chưa thiết lập mã!
G_ItemList_8	Hủy mã thất bại: Xác nhận mã thất bại!
G_ItemList_9	Đổi mã thành công!
G_ItemList_10	Đổi mã thất bại: Chưa thiết lập mã!
G_ItemList_11	Đổi mã thất bại: Xác nhận mã thất bại!
G_ItemList_12	Khóa thành công!
G_ItemList_13	Khóa thất bại: Chức năng mã bảo vệ và mở rộng rương của bạn chưa mở, hãy đến Thẩm Cửu (188,198) ở Ba Lăng Huyện để mở chức năng này!
G_ItemList_14	Mở khóa thành công!
G_ItemList_15	Mở khóa thất bại: Chức năng mã bảo vệ và mở rộng rương của bạn chưa mở, hãy đến Thẩm Cửu (188,198) ở Ba Lăng Huyện để mở chức năng này!
G_ItemList_16	Mở khóa thất bại: Xác nhận mã thất bại!
G_ItemList_17	Trị PK từ 5 trở lên không thể dùng thổ địa phù!
G_SkillList_0	Kỹ năng %s của bạn đã tăng cấp!
G_SkillList_2	Võ công này không thể cưỡi ngựa!
G_SkillList_3	Võ công này phải cưỡi ngựa!
G_SkillList_4	Số lính thuê đã đạt tối đa, không thể thuê thêm!
G_SkillList_5	Kỹ năng %s của đồng hành đã tăng cấp!
G_SkillList_Limit_1	Vũ khí đang trang bị không thích hợp!
G_SkillList_Limit_2	Võ công này không thể cưỡi ngựa!
G_SkillList_Limit_3	Võ công này phải cưỡi ngựa!
G_SkillList_Limit_4	Môn phái hiện tại không thích hợp võ công này!
G_SkillList_Limit_5	Hệ phái hiện tại không thích hợp võ công này!
G_SkillList_Limit_6	Trạng thái cuồng nộ mới dùng được kỹ năng này
G_SkillList_Limit_7	Trạng thái luyện công mới dùng được kỹ năng này
G_SkillList_Limit_8	Biến thân không thể dùng kỹ năng này!
G_Skills_0	Kỹ năng đạn\n
G_Skills_1	Tường Số lượng %d\n
G_Skills_2	Đường Số lượng %d\n
G_Skills_3	Tán Số lượng %d\n
G_Skills_4	Tán tròn Số lượng %d\n
G_Skills_5	Khu tròn Số lượng %d\n
G_Skills_6	Khu vuông Số lượng %d\n
G_Skills_7	Khu tròn định điểm Số lượng %d\n
G_Skills_8	Khu vuông định điểm Số lượng %d\n
G_Skills_11	Cách Đấu Kỹ\n
G_Skills_12	Võ công hỗ trợ chủ động\n
G_Skills_13	Trạng thái duy trì: %d\n
G_Skills_14	Võ công hỗ trợ bị động\n
G_Skills_15	Sát thương khu vực 
G_Skills_16	Tại chỗ 
G_Skills_17	Bay thẳng 
G_Skills_18	Bay vòng tròn
G_Skills_20	Bay vòng cung 
G_Skills_21	Xuyên
G_Skills_22	Phạm vi sát thương: %d 
G_Skills_23	Phạm vi đẩy lùi: %d 
G_Skills_24	Tử vong tự nổ 
G_Skills_25	Vòng sáng
G_Skills_26	Vật lý
G_Skills_27	Cận chiến
G_Skills_28	Tất trúng 
G_Skills_29	Đối bạn
G_Skills_30	Đối địch
G_Skills_31	Đối vật
G_Skills_32	Đối kỷ
G_Skills_33	Xem xét tỷ lệ chính xác 
G_Skills_34	Thuộc tính kỹ năng: 
G_Skills_35	(Đánh cận chiến)\n
G_Skills_36	(Đánh tầm xa)\n
G_Skills_37	Cấp hiện tại: %d
G_Skills_38	Cấp hiện tại: %d (%d+%d)
G_Skills_39	Kỹ năng cộng thêm: %d%%\n
G_Skills_40	Độ tu luyện: %d%%\n
G_Skills_41	Vũ khí: 
G_Skills_42	Cưỡi ngựa không thể thi triển\n
G_Skills_43	Phải cưỡi ngựa mới thi triển\n
G_Skills_44	\n<color=Red>Cấp kế\n
G_Skills_45	Hao nội lực: %d\n
G_Skills_46	Hao thể lực: %d\n
G_Skills_47	Hao sinh lực: %d\n
G_Skills_48	Cự ly hiệu quả: %d\n
G_Skills_49	Cộng thêm cho kỹ năng [%s] %d%%\n
G_Skills_50	<color=Blue>Tầng 1:<color>
G_Skills_51	<color=Blue>Tầng 2:<color>
G_Skills_52	<color=Blue>Tầng 3:<color>
G_Skills_53	<color=Blue>Tầng 4:<color>
G_Skills_54	<color=Blue>Tầng 5:<color>
G_Skills_55	<color=Blue>Tầng 6:<color>
G_Skills_56	<color=Blue>Tầng 7:<color>
G_Skills_57	<color=Blue>Tầng 8:<color>
G_Skills_58	<color=Blue>Tầng 9:<color>
G_Skills_59	<color=Blue>Tầng 10:<color>
G_Skills_60	<color=Blue>Tầng 11:<color>
G_Skills_61	<color=Blue>Tầng 12:<color>
G_Skills_62	<color=Blue>Tầng 13:<color>
G_Skills_63	<color=Blue>Tầng 14:<color>
G_Skills_64	<color=Blue>Tầng 15:<color>
G_Skills_65	<color=Blue>Tầng 16:<color>
G_Skills_66	<color=Blue>Tầng 17:<color>
G_Skills_67	<color=Blue>Tầng 18:<color>
G_Skills_68	<color=Blue>Tầng 19:<color>
G_Skills_69	<color=Blue>Tầng 20:<color>
G_Skills_70	Thuộc tính: Kim %d\n
G_Skills_71	Thuộc tính: Mộc %d\n
G_Skills_72	Thuộc tính: Thủy %d\n
G_Skills_73	Thuộc tính: Hỏa %d\n
G_Skills_74	Thuộc tính: Thổ %d\n
G_Skills_75	Ngũ hành tương khắc: %d%%\n
G_PlayerPK_0	Kinh nghiệm âm quá nhiều, chỉ được luyện công!
G_PlayerPK_1	Kinh nghiệm âm quá nhiều, không được cừu sát!
G_PlayerPK_2	Kinh nghiệm từ -50%% trở đi, không thể PK!
G_ProtocolProcess_0	Ai đó
G_ProtocolProcess_1	Lượng
G_ProtocolProcess_2	Bạc
G_ProtocolProcess_3	Có người
G_ProtocolProcess_4	Bang chủ phát tiền cho bạn: %d!
G_ProtocolProcess_5	Chưa mở khi rời mạng chuyển tin!
G_ProtocolProcess_6	Mục tiêu chuyển tin khi rời mạng là %s!
G_ProtocolProcess_7	Thiết lập mục tiêu chuyển tin là %s.
G_ProtocolProcess_8	Hiện không thể nhận tin mật!\nNhập /OfflineTrans hủy thiết lập.
G_ProtocolProcess_9	Lập bang thất bại!
G_ProtocolProcess_10	%s xin vào bang!
G_ProtocolProcess_11	Thao tác bang bị khóa, không thể bổ nhiệm!
G_ProtocolProcess_12	Chuyển vị thất bại, đối phương không trên mạng!
G_ProtocolProcess_13	Chuyển vị thất bại, năng lực đối phương không đủ!
G_ProtocolProcess_14	Chuyển vị thất bại, trong bang không có người này!
G_ProtocolProcess_15	Thao tác bang bị khóa!
G_ProtocolProcess_16	%s xin vào liên minh!
G_ProtocolProcess_17	%s từ chối nhận vào liên minh!
G_ProtocolProcess_18	Tiền bang hội không đủ!
G_ProtocolProcess_19	Do trị PK >=3, trước khi PK hãy mở khóa thanh trang bị.
G_ProtocolProcess_20	Trạng thái hiện tại cấm di chuyển hoặc giao dịch vật phẩm!
G_ProtocolProcess_21	Đồng hành đang hôn mê, sau %d giây mới triệu hồi lại!
G_ProtocolProcess_22	Giản cách triệu hồi hai lần đồng hành quá ngắn, xin thử lại sau!
G_ProtocolProcess_23	Ở đây không được triệu hồi đồng hành!
G_ProtocolProcess_24	Thanh trang bị đang khóa, không thể giải tán đồng hành!
G_ProtocolProcess_25	Không được giải tán đồng hành cuối cùng!
G_ProtocolProcess_26	Tại đây không thể phát huy công hiệu vật phẩm này!
G_ProtocolProcess_27	Do nhập sai mã liên tục, hệ thống ngưng kiểm chứng, thời gian còn: %d tiếng
G_ProtocolProcess_28	Nhập sai mã %d lần, nhập sai 10 lần liên tục hệ thống sẽ ngưng kiểm chứng một khoảng thời gian
G_ProtocolProcess_29	Đối phương hiện không thể giao dịch với bạn!
G_ProtocolProcess_30	Tài khoản đối phương đang khóa, không thể nhận yêu cầu của bạn!
G_ProtocolProcess_31	Tài khoản đang khóa, không thể giao dịch!
G_ScriptFuns_0	Không
G_ScriptFuns_1	<Không cai quản>
G_ScriptFuns_2	Thành này hiện không có đấu lôi đài.
G_ScriptFuns_3	Khu gần nhất bổn thành không có đấu lôi đài.
G_ScriptFuns_4	Thông tin tổ đội
G_ScriptFuns_5	[Script] dùng tham số AddItem số lượng không hợp!
G_ScriptFuns_6	[Script] dùng tham số AddGoldItem số lượng không hợp!
G_ScriptFuns_7	[Script] GoldItem-Hiện chỉ hỗ trợ trang bị hoàng kim!
G_ScriptFuns_8	GetItem tham số không đủ!
G_ScriptFuns_9	HaveItem tham số không đủ!
G_ScriptFuns_10	DelCommonItem tham số không đủ!
G_ScriptFuns_11	ExistCommonItem tham số không đủ!
G_ScriptFuns_12	GetItemLife tham số không đủ!
G_ScriptFuns_13	Thành không tên
G_ScriptFuns_14	Chưa ghi nhớ
G_ScriptFuns_15	Chưa biết bến đò
G_ScriptFuns_16	Danh vọng giảm %d điểm!
G_ScriptFuns_17	Danh vọng tăng %d điểm!
G_MagicDesc_0	Nội lực
G_MagicDesc_1	Sinh lực
G_MagicDesc_2	Thể lực
G_MagicDesc_3	Bạc
G_MagicDesc_4	+
G_MagicDesc_5	-
G_MagicDesc_6	Nữ
G_MagicDesc_7	Nam
G_MagicDesc_8	Kiếm
G_MagicDesc_9	Đơn Đao
G_MagicDesc_10	Côn
G_MagicDesc_11	Thương
G_MagicDesc_12	Chùy
G_MagicDesc_13	Song Đao
G_MagicDesc_14	Toàn bộ
G_MagicDesc_15	Ám Khí
G_MagicDesc_16	Cận chiến
G_MagicDesc_17	Tay không
G_MagicDesc_18	Chưa biết
G_KDiceGame_0	Bạn không đủ bạc để tiếp tục trò chơi!
G_KDiceGame_1	Trò chơi
G_KDiceGame_2	AddGlobalNews([[Chúc mừng! %s trúng lớn, nhận được %d lượng!]])
G_KDiceGame_3	%d:%d máy trò chơi: %s rút được %d|%d|%d , đặt cược: %d tiền thưởng: %d tiền cọc: %d\n
 	
G_STRING_AUTOHANGMSG_1	Công lực quá thấp, không thể hấp thu công hiệu của Cháo Lạp Bát. Cấp %d hãy đến thử lại.
G_STRING_AUTOHANGMSG_2	Bạn phải có Cuốc khoáng mới có thể đào khoáng, hãy đến Đào Hoa Ẩn Sĩ mua.
G_STRING_AUTOHANGMSG_3	Cuốc khoáng đã hư, hãy đến Đào Hoa Ẩn Sĩ mua cuốc mới để tiếp tục đào khoáng.
G_STRING_AUTOHANGMSG_4	Kinh nghiệm tăng %d điểm.
G_STRING_AUTOHANGMSG_5	Cuốc khoáng đặc biệt đã hư, hãy đến Bang Hội Binh Giáp Phường mua cái mới để tiếp tục đào khoáng.
G_CORESHELL_1	Cưỡi ngựa không thể ngồi thiền!
G_CORESHELL_STALLPRICE	\n<color=White>Giá bán: <color=Yellow>
G_CORESHELL_OFFERPRICE	\n<color=White>Giá mua: <color=Yellow>
G_CORESHELL_STALL_0	\n<color=White>Niêm giá (thu nhập): <color=Green>
G_CORESHELL_STALL_1	\n<color=White>Giá bán (gồm thuế): <color=Yellow>
G_CORESHELL_STALL_2	\n<color=White>Giá bán: <color=Yellow>
G_CORESHELL_STALL_3	\n<color=DBlue>Thuế tại đây: %d%%\n
G_STRING_ALLSKILLS	Tất cả võ công
G_STRING_BRACKET_BEGIN	[
G_STRING_BRACKET_END	]
G_CITYWAR_WARNING_SETTAXTIME	Hiện không được phép lập thuế. Thời gian thiết lập thuế: %d giờ - %d giờ
G_CITYWAR_WARNING_TAXALREADYSET1	Bạn đã thiết lập thuế hôm nay!
G_CITYWAR_WARNING_TAXALREADYSET	Bạn đã thiết lập thuế tuần này!
G_CITYWAR_WARNING_NOTTONGLEADER	Bạn không phải bang chủ!
G_STRING_DISABLED_CHAT	Trong khu vực đặc biệt, không thể sử dụng kênh tán gẫu
G_STRING_ENTER_CHANNEL	: Bạn vào kênh %s
G_STRING_LEAVE_CHANNEL	: Bạn đã rời kênh
G_STRING_ANTIBOT_AFTERMSG	Bạn chịu ảnh hưởng auto và chưa hủy, trong một khoảng thời gian hệ thống sẽ không bảo đảm số liệu bạn nhận là đúng.
G_STRING_ANTIBOT_CLEARMSG	Đã xóa các ảnh hưởng bởi Auto, dữ liệu của bạn đã được hồi phục!
G_STRING_ANTIBOT_STARTMSG	Bạn đang dùng auto, hệ thống sẽ không bảo đảm số liệu bạn nhận là đúng.
G_STRING_SONG	Tống
G_STRING_JIN	Kim
G_STRING_MONEY	Lượng
G_STRING_FUYUAN	Phúc duyên
G_STRING_COIN	Tiền đồng
G_STRING_SCORE	Tích lũy
G_STRING_CONTRIBUTION	Cống hiến
G_STRING_BUILDFUND	Kiến thiết bang
G_STRING_HONOUR	Điểm vinh dự
G_STR_AUTOATTACK_START	Đang tự đánh quái, còn %d phút.
G_STR_AUTOATTACK_END	Tự đánh quái kết thúc.
G_STR_AUTOATTACK_SWITCH_ON	Mở tự đánh quái! Muốn chuyển đánh tay hãy nhấn chuột trái vào đất trống là được.
G_STR_AUTOATTACK_SWITCH_OFF	Đóng tự đánh quái! Muốn chuyển tự đánh hãy nhấn chuột phải vào kẻ địch là được.
G_STR_AUTOATTACK_INFO1	Chức năng tự động đánh có thể thực hiện ở dạng luyện công
G_STR_AUTOATTACK_INFO2	Tự đánh quái tạm dừng. Chức năng này chỉ dùng ở dạng luyện công.
G_STR_AUTOATTACK_ERROR1	Trạng thái phi chiến đấu không thể đổi tự đánh quái!
G_STR_AUTOATTACK_ERROR2	Tự đánh quái chỉ dùng ở dạng luyện công.
G_STR_AUTOATTACK_ERROR3	Bạn chưa dùng Bạch Câu Hoàn, không thể dùng tự đánh quái!
G_STR_MOUSE_MAGIC_ITEM	Bạn chưa dùng Bạch Câu Hoàn, không thể dùng tự đánh quái!
G_STR_ONLY_JEWELRY	Khung này chỉ được bỏ vào trang sức chưa khóa (Dây chuyền, nhẫn, hương nang…)!
G_STR_ONLY_CRYOLITE	Khung này chỉ được bỏ vào huyền tinh khoáng thạch không xếp chồng.
G_STR_ONLY_PROPMINE	Thanh vật phầm này chỉ có thể chứa khoáng thạch thuộc tính (Huyền Thiết Khoáng, Mật Ngân Khoáng, Khổng Tước Thạch…).
G_STR_ONLY_EQUIP	Khung này chỉ được bỏ vào trang bị trắng, xanh chưa khóa.
G_STR_ONLY_MINE	Ô này chỉ có thể đặt Huyền Tinh khoáng thạch hoặc Khoáng thạch thuộc tính chưa xếp chồng
G_STR_ONLY_BW_EQUIP	Khung này chỉ được bỏ vào trang bị trắng, xanh không phải trang sức.
G_STR_ONLY_PURPLE_EQUIP	Khung này chỉ được bỏ vào trang bị tím chưa khóa.
G_STR_ONLY_CONSUME	Khung này chỉ được bỏ vào Huyền tinh, Phúc duyên lộ hoặc Thần bí khoáng thạch.
G_STR_ONLY_ORGMINE	Khung này chỉ được bỏ vào khoáng thạch thuộc tính ban đầu (Huyền Thiết Nguyên Khoáng, Mật Ngân Nguyên Khoáng, Khổng Tước Nguyên Thạch, Phù Dung Nguyên Thạch...).
G_STR_ONLY_ATLAS	Khung này chỉ được bỏ vào đồ phổ hoàng kim.
G_STR_ONLY_BOOK	Khung này chỉ được bỏ vào khoáng thạch thuộc tính hoặc sách kỹ năng.
G_STR_DUPEDITEM_MARK	""%s"" là vật phục chế phi pháp, đã bị làm dấu!
G_STR_DUPEDITEM_DELETE	""%s"" là vật phục chế phi pháp, đã bị hủy!
G_STR_ITEM_LOWDUR	""%s"" sắp hư, hãy mau sửa chữa.
G_STR_ITEM_ABRADETOZERO	""%s"" đã hư, không thể sử dụng, xin sửa chữa.
G_TIPS_PLAYEREVENT_KILLNPC	Tiến độ diệt ""%s"" %d/%d
G_STR_ORIGINAL_PRICE	Giá gốc vật phẩm: 
G_STR_ABATE_PRICE	Giá bán vật phẩm: 
G_STR_ABATE_BEGIN_DATE	Hạn chiết khấu từ: 
G_STR_TO	Đến: 
G_STR_SELL_BEGIN_DATE	Thời gian tiêu thụ từ: 
G_STR_ABATE_END	Hạn chiết khấu đến: 
G_STR_SELL_END	Hạn bán đến: 
G_STR_CHATROOM	Phòng tán gẫu
G_STR_NPC_BUYITEM_REPUTE	<color=Yellow>Cần danh vọng: Phe (%s), loại (%s), cấp (%d)
G_STR_PLAYERACTION_LEVELUP	Người chơi thăng cấp
G_STR_PLAYERACTION_JOINFACTION	Vào môn phái
G_STR_PLAYERACTION_JOINKIN	Vào gia tộc
G_STR_PLAYERACTION_LEAVEKIN	Rời gia tộc
G_STR_PLAYERACTION_TRADEITEM	Người chơi giao dịch vật phẩm
G_STR_PLAYERACTION_TRADEMONEY	Người chơi giao dịch bạc
G_STR_PLAYERACTION_STALLITEM	Bày bán giao dịch vật phẩm
G_STR_PLAYERACTION_STALLMONEY	Bày bán giao dịch bạc
G_STR_PLAYERACTION_LOGOUT	Người chơi rời mạng
G_STR_PLAYERACTION_LOGIN	Người chơi lên mạng
G_STR_PLAYERACTION_BEGINOFFLIVE	Bắt đầu Ủy thác rời mạng
G_STR_PLAYERACTION_ENDOFFLIVE	Kết thúc ủy thác rời mạng
G_STR_PLAYERACTION_KICKOFFLIVE	Kích tài khoản ủy thác rời mạng
G_STR_TEAMFRIEND_GETITEM	%s nhận được %s
K_S_METAL	Kim
K_S_WOOD	Mộc
K_S_WATER	Thủy
K_S_FIRE	Hỏa
K_S_EARTH	Thổ
K_C_BEGIN	begin
K_C_JUSTICE	justice
K_C_EVIL	evil
K_C_BALANCE	balance
K_C_FREE	free
K_C_ANIMAL	animal
K_C_EVENT	event
K_NPC_0	CharacterName
K_REPAIRSCRIPT_FUNC_PRICE	get_repair_price
K_REPAIRSCRIPT_FUNC_REPAIR	repair_equip
K_CHAT_TEAM_DEFAULT_NAME	Hảo hữu của tôi
K_MATE_UNITNAME	Phu thê\n
K_BROTHER_UNITNAME	Người thân\n
K_ENEMY_UNITNAME	Cừu nhân\n
K_PLAYERCHAT_0	%04d.%02d.%02d
K_PLAYERCHAT_1	%02d:%02d:%02d
K_SCRIPTFUNC_GetAutoExpValue	AEXP_GetHangExpValue
K_WEAPON_DETAILTYPE	Loại cụ thể
K_MESSAGE_SYSTEM_ANNOUCE_HEAD	Thông báo
K_MESSAGE_SYSTEM_WARNING_HEAD	Cảnh cáo
K_MESSAGE_SYSTEM_MESSAGE_HEAD	Tin tức hệ thống
K_KIND_NAME_SECT	CharacterType
K_KIND_NAME_SPECIAL	SpecialNpc
K_KIND_NAME_NORMAL	NormalNpc
L_CANT_OPEN	Không thể mở %s
L_TONG_TAX	Thành <%s> thu thuế: %u
L_SHAREDATABASE_0	Tạo 1 báu vật %d, %d,%d\n
L_SHAREDATABASE_1	Tạo 1 Ngôi sao may mắn %s  %d, %d,%d\n
L_SHAREDATABASE_2	Tạo 1 Quái hoàng kim %s  index = %d Sid=%d  %d, %d, %d\n
L_EXCEPT_EXCUTE_RS	Exception Have Caught When Execute Relay Script !!!!!
L_NPC_0	[Trị số]%s chịu %d điểm độc công ban đầu
L_NPC_1	[Trị số] %s chịu %d điểm sát thương ma pháp ban đầu
L_NPC_2	[Trị số]%s sát thương thực: %d
L_NPC_3	[Trị số]%s phản hồi sát thương %d
L_NPC_4	[Trị số] Ma pháp %s - thuẫn hút: %d
L_NPC_5	[Trị số]%s né tấn công
L_NPC_6	[zroc]Npc(%d)ServerMove RegionIdx = %d
L_NPC_7	Packing sync data ok...\n
L_NPC_8	Packing sync data failed...\n
L_NPC_9	[Sync]%d:%s<%d> request to %d. size:%d
L_NPC_10	Packing player sync data ok...\n
L_NPC_11	Packing player sync data failed...\n
L_NPC_12	NpcID:%d  Life:%d\nRegionIndex:%d Pos:%d,%d\nPlayerNumber:%d\n
L_NPC_13	NpcNumber:\n%02d,%02d,%02d\n%02d,%02d,%02d\n%02d,%02d,%02d
L_NPC_14	[Trị số] AttackRating %d : Defense %d: RandomPercent (%d, %d)
L_NPC_15	[error] Chí mạng bị lỗi, không thể đọc chính xác %s
L_NPC_16	Yêu cầu tải mẫu Npc%d phi pháp!
L_NPC_17	[Script]SetPos error:SubWorld:%d, Pos(%d, %d)
L_NPC_18	[Map]World%d haven't been loaded!
L_NPC_19	[Map]Change Pos(%d,%d) Invalid!
L_NPC_20	[DEATH]SetMode:%d
L_NPC_21	[DEATH] m_ProcessState: %d
L_NPC_22	[DEATH] m_bExchangeServer: %d
L_NPC_23	[DEATH] m_Doing: %d
L_NPC_24	[DEATH] WaitForFrame TRUE
L_NPC_25	[DEATH] WaitForFrame FALSE
L_NPC_26	[error]%s Region Index < 0 when hurt
L_NPC_27	[DEATH]On Hurt Finished
L_NPC_28	[error]%s Region Index < 0 when dorevive
L_NPC_29	Quái đánh chết tổn thất %d kinh nghiệm
L_NPC_30	Quái đánh chết tổn thất %d bạc
